,JDAY,SPL_temp_C,FKC_temp_C,MC_temp_C,SJR_temp_C,SPL_Q_m3s,FKC_Q_m3s,MC_Q_m3s,SJR_Q_m3s,SPL_ELEVCL_m,FKC_ELEVCL_m,MC_ELEVCL_m,SJR_ELEVCL_m
2023-06-02 02:00:00,37408.082,0.0,12.67,12.3,11.35,0.0,79.84,31.31,282.6,171.78,142.21,136.73,116.61
2023-06-02 03:00:00,37408.125,0.0,12.68,12.31,11.38,0.0,80.06,31.3,282.6,171.78,142.21,136.73,116.61
2023-06-02 04:00:00,37408.164,0.0,12.67,12.31,11.41,0.0,80.29,31.29,282.6,171.78,142.21,136.73,116.61
2023-06-02 05:00:00,37408.207,0.0,12.66,12.3,11.42,0.0,80.51,31.28,282.6,171.78,142.21,136.73,116.61
2023-06-02 06:00:00,37408.25,0.0,12.64,12.3,11.43,0.0,80.73,31.28,282.6,171.78,142.21,136.73,116.61
2023-06-02 07:00:00,37408.29,0.0,12.63,12.29,11.43,0.0,80.96,31.27,282.6,171.78,142.21,136.73,116.61
2023-06-02 08:00:00,37408.332,0.0,12.63,12.29,11.44,0.0,81.18,31.26,282.6,171.78,142.21,136.73,116.61
2023-06-02 09:00:00,37408.375,0.0,12.63,12.29,11.44,0.0,81.4,31.26,282.6,171.78,142.21,136.73,116.61
2023-06-02 10:00:00,37408.414,0.0,12.64,12.29,11.44,0.0,81.63,31.25,282.6,171.78,142.21,136.73,116.61
2023-06-02 11:00:00,37408.457,0.0,12.66,12.29,11.44,0.0,81.85,31.24,282.6,171.78,142.21,136.73,116.61
2023-06-02 12:00:00,37408.5,0.0,12.67,12.28,11.44,0.0,82.07,31.24,282.6,171.78,142.21,136.73,116.61
2023-06-02 13:00:00,37408.54,0.0,12.68,12.27,11.44,0.0,82.3,31.23,282.6,171.78,142.21,136.73,116.61
2023-06-02 14:00:00,37408.582,0.0,12.67,12.26,11.45,0.0,82.52,31.22,282.6,171.78,142.21,136.73,116.61
2023-06-02 15:00:00,37408.625,0.0,12.66,12.26,11.45,0.0,82.75,31.21,282.6,171.78,142.21,136.73,116.61
2023-06-02 16:00:00,37408.664,0.0,12.66,12.26,11.45,0.0,82.97,31.21,282.6,171.78,142.21,136.73,116.61
2023-06-02 17:00:00,37408.707,0.0,12.65,12.26,11.46,0.0,83.2,31.2,282.6,171.78,142.21,136.73,116.61
2023-06-02 18:00:00,37408.75,0.0,12.64,12.26,11.46,0.0,83.42,31.19,282.6,171.78,142.21,136.73,116.61
2023-06-02 19:00:00,37408.79,0.0,12.63,12.26,11.47,0.0,83.64,31.19,282.6,171.78,142.21,136.73,116.61
2023-06-02 20:00:00,37408.832,0.0,12.62,12.26,11.47,0.0,83.87,31.18,282.6,171.78,142.21,136.73,116.61
2023-06-02 21:00:00,37408.87,0.0,12.64,12.28,11.48,0.0,84.09,31.17,282.6,171.78,142.21,136.73,116.61
2023-06-02 22:00:00,37408.914,0.0,12.73,12.33,11.5,0.0,84.32,31.16,282.6,171.78,142.21,136.73,116.61
2023-06-02 23:00:00,37408.957,0.0,12.89,12.42,11.52,0.0,84.54,31.16,282.6,171.78,142.21,136.73,116.61
2023-06-03 00:00:00,37409.0,0.0,13.06,12.44,11.54,0.0,84.76,31.15,282.6,171.78,142.21,136.73,116.61
2023-06-03 01:00:00,37409.04,0.0,13.19,12.55,11.5,0.0,85.3,31.16,282.6,171.78,142.21,136.73,116.61
2023-06-03 02:00:00,37409.082,0.0,13.23,12.58,11.51,0.0,85.86,31.17,282.6,171.78,142.21,136.73,116.61
2023-06-03 03:00:00,37409.125,0.0,13.17,12.53,11.54,0.0,86.41,31.18,282.6,171.78,142.21,136.73,116.61
2023-06-03 04:00:00,37409.164,0.0,13.08,12.45,11.53,0.0,86.96,31.19,282.6,171.78,142.21,136.73,116.61
2023-06-03 05:00:00,37409.207,0.0,13.01,12.39,11.53,0.0,87.51,31.2,282.6,171.78,142.21,136.73,116.61
2023-06-03 06:00:00,37409.25,0.0,12.97,12.37,11.54,0.0,88.06,31.21,282.6,171.78,142.21,136.73,116.61
2023-06-03 07:00:00,37409.29,0.0,12.96,12.36,11.54,0.0,88.61,31.22,282.6,171.78,142.21,136.73,116.61
2023-06-03 08:00:00,37409.332,0.0,12.96,12.35,11.54,0.0,89.16,31.23,282.6,171.78,142.21,136.73,116.61
2023-06-03 09:00:00,37409.375,0.0,12.97,12.34,11.54,0.0,89.72,31.24,282.6,171.78,142.21,136.73,116.61
2023-06-03 10:00:00,37409.414,0.0,12.96,12.39,11.54,0.0,90.27,31.25,282.6,171.78,142.21,136.73,116.61
2023-06-03 11:00:00,37409.457,0.0,12.95,12.37,11.54,0.0,90.82,31.26,282.6,171.78,142.21,136.73,116.61
2023-06-03 12:00:00,37409.5,0.0,12.94,12.35,11.55,0.0,91.37,31.27,282.6,171.78,142.21,136.73,116.61
2023-06-03 13:00:00,37409.54,0.0,12.92,12.33,11.55,0.0,91.92,31.28,282.6,171.78,142.21,136.73,116.61
2023-06-03 14:00:00,37409.582,0.0,12.91,12.32,11.56,0.0,92.49,31.3,282.6,171.78,142.21,136.73,116.61
2023-06-03 15:00:00,37409.625,0.0,12.92,12.33,11.57,0.0,93.02,31.31,282.6,171.78,142.21,136.73,116.61
2023-06-03 16:00:00,37409.664,0.0,12.94,12.34,11.58,0.0,93.57,31.32,282.6,171.78,142.21,136.73,116.61
2023-06-03 17:00:00,37409.707,0.0,12.94,12.35,11.58,0.0,94.13,31.33,282.6,171.78,142.21,136.73,116.61
2023-06-03 18:00:00,37409.75,0.0,12.89,12.33,11.56,0.0,94.68,31.34,282.6,171.78,142.21,136.73,116.61
2023-06-03 19:00:00,37409.79,0.0,12.83,12.41,11.57,0.0,95.23,31.35,282.6,171.78,142.21,136.73,116.61
2023-06-03 20:00:00,37409.832,0.0,12.78,12.4,11.58,0.0,95.79,31.36,282.6,171.78,142.21,136.73,116.61
2023-06-03 21:00:00,37409.875,0.0,12.78,12.41,11.59,0.0,96.34,31.37,282.6,171.78,142.21,136.73,116.61
2023-06-03 22:00:00,37409.914,0.0,12.81,12.43,11.6,0.0,96.9,31.38,282.6,171.78,142.21,136.73,116.61
2023-06-03 23:00:00,37409.957,0.0,12.84,12.45,11.61,0.0,97.45,31.39,282.6,171.78,142.21,136.73,116.61
2023-06-04 00:00:00,37410.0,0.0,12.85,12.45,11.61,0.0,98.0,31.4,282.6,171.78,142.21,136.73,116.61
2023-06-04 01:00:00,37410.043,0.0,12.82,12.43,11.61,0.0,98.44,31.36,282.6,171.78,142.21,136.73,116.61
2023-06-04 02:00:00,37410.082,0.0,12.77,12.4,11.61,0.0,98.85,31.32,282.6,171.78,142.21,136.73,116.61
2023-06-04 03:00:00,37410.125,0.0,12.72,12.37,11.61,0.0,99.29,31.28,282.6,171.78,142.21,136.73,116.61
