,JDAY,SPL_temp_C,FKC_temp_C,MC_temp_C,SJR_temp_C,SPL_Q_m3s,FKC_Q_m3s,MC_Q_m3s,SJR_Q_m3s,SPL_ELEVCL_m,FKC_ELEVCL_m,MC_ELEVCL_m,SJR_ELEVCL_m
2024-05-28 01:00:00,37769.082,0.0,16.16,11.05,9.03,0.0,124.65,31.5,10.46,171.78,173.74,136.73,116.61
2024-05-28 02:00:00,37769.125,0.0,16.12,11.04,9.03,0.0,124.69,31.48,10.44,171.78,173.74,136.73,116.61
2024-05-28 03:00:00,37769.164,0.0,16.1,11.04,9.03,0.0,124.73,31.46,10.43,171.78,173.74,136.73,116.61
2024-05-28 04:00:00,37769.207,0.0,16.07,11.05,9.03,0.0,124.77,31.44,10.42,171.78,173.74,136.73,116.61
2024-05-28 05:00:00,37769.25,0.0,16.05,11.04,9.03,0.0,124.81,31.42,10.41,171.78,173.74,136.73,116.61
2024-05-28 06:00:00,37769.29,0.0,16.04,11.05,9.03,0.0,124.85,31.4,10.4,171.78,173.74,136.73,116.61
2024-05-28 07:00:00,37769.332,0.0,16.04,11.05,9.03,0.0,124.89,31.37,10.38,171.78,173.74,136.73,116.61
2024-05-28 08:00:00,37769.375,0.0,16.07,11.05,9.03,0.0,124.93,31.35,10.37,171.78,173.74,136.73,116.61
2024-05-28 09:00:00,37769.414,0.0,16.13,11.05,9.03,0.0,124.97,31.33,10.36,171.78,173.74,136.73,116.61
2024-05-28 10:00:00,37769.457,0.0,16.18,11.03,9.03,0.0,125.01,31.31,10.35,171.78,173.74,136.73,116.61
2024-05-28 11:00:00,37769.5,0.0,16.34,11.01,9.03,0.0,125.05,31.29,10.34,171.78,173.74,136.73,116.61
2024-05-28 12:00:00,37769.543,0.0,16.36,10.99,9.03,0.0,125.09,31.27,10.32,171.78,173.74,136.73,116.61
2024-05-28 13:00:00,37769.582,0.0,16.39,10.99,9.03,0.0,125.13,31.25,10.31,171.78,173.74,136.73,116.61
2024-05-28 14:00:00,37769.625,0.0,16.45,10.97,9.03,0.0,125.17,31.23,10.3,171.78,173.74,136.73,116.61
2024-05-28 15:00:00,37769.664,0.0,16.02,10.88,9.03,0.0,125.21,31.21,10.29,171.78,173.74,136.73,116.61
2024-05-28 16:00:00,37769.707,0.0,15.72,10.82,9.03,0.0,125.25,31.19,10.28,171.78,173.74,136.73,116.61
2024-05-28 17:00:00,37769.75,0.0,15.75,10.88,9.03,0.0,125.29,31.17,10.26,171.78,173.74,136.73,116.61
2024-05-28 18:00:00,37769.793,0.0,15.81,10.95,9.04,0.0,125.33,31.15,10.25,171.78,173.74,136.73,116.61
2024-05-28 19:00:00,37769.832,0.0,15.63,10.94,9.03,0.0,125.37,31.12,10.24,171.78,173.74,136.73,116.61
2024-05-28 20:00:00,37769.875,0.0,15.38,10.95,9.03,0.0,125.41,31.1,10.23,171.78,173.74,136.73,116.61
2024-05-28 21:00:00,37769.914,0.0,15.39,11.03,9.04,0.0,125.45,31.08,10.22,171.78,173.74,136.73,116.61
2024-05-28 22:00:00,37769.957,0.0,15.09,11.05,9.04,0.0,125.49,31.06,10.2,171.78,173.74,136.73,116.61
2024-05-28 23:00:00,37770.0,0.0,14.8,11.01,9.04,0.0,125.53,31.04,10.19,171.78,173.74,136.73,116.61
2024-05-29 00:00:00,37770.04,0.0,14.71,11.02,9.04,0.0,125.53,31.02,10.18,171.78,173.74,136.73,116.61
2024-05-29 01:00:00,37770.082,0.0,14.7,10.98,9.04,0.0,125.53,30.99,10.17,171.78,173.74,136.73,116.61
2024-05-29 02:00:00,37770.125,0.0,14.86,11.09,9.05,0.0,125.53,30.96,10.16,171.78,173.74,136.73,116.61
2024-05-29 03:00:00,37770.168,0.0,15.05,11.18,9.05,0.0,125.53,30.94,10.14,171.78,173.74,136.73,116.61
2024-05-29 04:00:00,37770.207,0.0,15.18,11.19,9.05,0.0,125.53,30.91,10.13,171.78,173.74,136.73,116.61
2024-05-29 05:00:00,37770.25,0.0,15.26,11.04,9.04,0.0,125.53,30.88,10.12,171.78,173.74,136.73,116.61
2024-05-29 06:00:00,37770.29,0.0,15.35,11.02,9.04,0.0,125.53,30.86,10.11,171.78,173.74,136.73,116.61
2024-05-29 07:00:00,37770.332,0.0,15.61,11.04,9.04,0.0,125.53,30.83,10.1,171.78,173.74,136.73,116.61
2024-05-29 08:00:00,37770.375,0.0,15.74,11.03,9.04,0.0,125.53,30.81,10.09,171.78,173.74,136.73,116.61
2024-05-29 09:00:00,37770.414,0.0,15.76,10.95,9.03,0.0,125.53,30.78,10.07,171.78,173.74,136.73,116.61
2024-05-29 10:00:00,37770.457,0.0,15.65,10.9,9.02,0.0,125.53,30.75,10.06,171.78,173.74,136.73,116.61
2024-05-29 11:00:00,37770.5,0.0,15.55,10.8,9.02,0.0,125.53,30.73,10.05,171.78,173.74,136.73,116.61
2024-05-29 12:00:00,37770.54,0.0,15.53,10.76,9.02,0.0,125.53,30.7,10.04,171.78,173.74,136.73,116.61
2024-05-29 13:00:00,37770.582,0.0,15.64,10.73,9.02,0.0,125.53,30.67,10.03,171.78,173.74,136.73,116.61
2024-05-29 14:00:00,37770.625,0.0,15.49,10.82,9.02,0.0,125.53,30.65,10.02,171.78,173.74,136.73,116.61
2024-05-29 15:00:00,37770.664,0.0,15.08,10.8,9.03,0.0,125.53,30.62,10.0,171.78,173.74,136.73,116.61
2024-05-29 16:00:00,37770.707,0.0,14.75,10.84,9.04,0.0,125.53,30.6,9.99,171.78,173.74,136.73,116.61
2024-05-29 17:00:00,37770.75,0.0,14.45,10.92,9.05,0.0,125.53,30.57,9.98,171.78,173.74,136.73,116.61
2024-05-29 18:00:00,37770.79,0.0,14.01,10.93,9.06,0.0,125.53,30.54,9.97,171.78,173.74,136.73,116.61
2024-05-29 19:00:00,37770.832,0.0,13.59,10.92,9.06,0.0,125.53,30.52,9.96,171.78,173.74,136.73,116.61
2024-05-29 20:00:00,37770.875,0.0,13.45,10.98,9.07,0.0,125.53,30.49,9.95,171.78,173.74,136.73,116.61
2024-05-29 21:00:00,37770.914,0.0,13.64,11.13,9.09,0.0,125.53,30.46,9.93,171.78,173.74,136.73,116.61
2024-05-29 22:00:00,37770.957,0.0,13.94,11.28,9.1,0.0,125.53,30.44,9.92,171.78,173.74,136.73,116.61
2024-05-29 23:00:00,37771.0,0.0,14.25,11.37,9.1,0.0,125.53,30.41,9.91,171.78,173.74,136.73,116.61
2024-05-30 00:00:00,37771.043,0.0,14.61,11.37,9.09,0.0,125.53,30.39,9.91,171.78,173.74,136.73,116.61
2024-05-30 01:00:00,37771.082,0.0,15.07,11.36,9.09,0.0,125.53,30.38,9.91,171.78,173.74,136.73,116.61
2024-05-30 02:00:00,37771.125,0.0,15.42,11.42,9.09,0.0,125.53,30.36,9.91,171.78,173.74,136.73,116.61
2024-05-30 03:00:00,37771.164,0.0,15.6,11.37,9.07,0.0,125.53,30.35,9.91,171.78,173.74,136.73,116.61
2024-05-30 04:00:00,37771.207,0.0,15.72,11.23,9.06,0.0,125.54,30.33,9.91,171.78,173.74,136.73,116.61
2024-05-30 05:00:00,37771.25,0.0,15.67,11.08,9.04,0.0,125.54,30.31,9.91,171.78,173.74,136.73,116.61
2024-05-30 06:00:00,37771.293,0.0,15.48,10.9,9.03,0.0,125.54,30.3,9.91,171.78,173.74,136.73,116.61
2024-05-30 07:00:00,37771.332,0.0,15.33,10.9,9.02,0.0,125.54,30.28,9.91,171.78,173.74,136.73,116.61
2024-05-30 08:00:00,37771.375,0.0,15.33,10.84,9.02,0.0,125.54,30.26,9.91,171.78,173.74,136.73,116.61
2024-05-30 09:00:00,37771.414,0.0,15.29,10.8,9.02,0.0,125.54,30.25,9.91,171.78,173.74,136.73,116.61
2024-05-30 10:00:00,37771.457,0.0,15.34,10.8,9.02,0.0,125.54,30.23,9.91,171.78,173.74,136.73,116.61
2024-05-30 11:00:00,37771.5,0.0,15.56,10.83,9.02,0.0,125.54,30.22,9.91,171.78,173.74,136.73,116.61
2024-05-30 12:00:00,37771.54,0.0,15.47,10.83,9.02,0.0,125.55,30.2,9.91,171.78,173.74,136.73,116.61
2024-05-30 13:00:00,37771.582,0.0,15.37,10.85,9.02,0.0,125.55,30.18,9.91,171.78,173.74,136.73,116.61
2024-05-30 14:00:00,37771.625,0.0,15.48,10.95,9.03,0.0,125.55,30.17,9.91,171.78,173.74,136.73,116.61
2024-05-30 15:00:00,37771.664,0.0,15.64,11.07,9.04,0.0,125.55,30.15,9.91,171.78,173.74,136.73,116.61
2024-05-30 16:00:00,37771.707,0.0,15.73,11.18,9.05,0.0,125.55,30.13,9.91,171.78,173.74,136.73,116.61
2024-05-30 17:00:00,37771.75,0.0,15.63,11.24,9.06,0.0,125.55,30.12,9.91,171.78,173.74,136.73,116.61
2024-05-30 18:00:00,37771.79,0.0,15.43,11.26,9.07,0.0,125.55,30.1,9.91,171.78,173.74,136.73,116.61
2024-05-30 19:00:00,37771.832,0.0,15.06,11.23,9.07,0.0,125.55,30.09,9.91,171.78,173.74,136.73,116.61
2024-05-30 20:00:00,37771.875,0.0,14.86,11.18,9.07,0.0,125.56,30.07,9.91,171.78,173.74,136.73,116.61
2024-05-30 21:00:00,37771.914,0.0,14.76,11.15,9.07,0.0,125.56,30.05,9.91,171.78,173.74,136.73,116.61
2024-05-30 22:00:00,37771.957,0.0,15.0,11.21,9.07,0.0,125.56,30.04,9.91,171.78,173.74,136.73,116.61
2024-05-30 23:00:00,37772.0,0.0,15.47,11.38,9.09,0.0,125.56,30.02,9.91,171.78,173.74,136.73,116.61
2024-05-31 00:00:00,37772.043,0.0,15.77,11.51,9.1,0.0,125.52,30.05,9.91,171.78,173.74,136.73,116.61
2024-05-31 01:00:00,37772.082,0.0,15.78,11.29,9.08,0.0,125.49,30.07,9.91,171.78,173.74,136.73,116.61
2024-05-31 02:00:00,37772.125,0.0,15.78,11.15,9.06,0.0,125.45,30.1,9.91,171.78,173.74,136.73,116.61
2024-05-31 03:00:00,37772.164,0.0,15.81,11.07,9.05,0.0,125.41,30.13,9.91,171.78,173.74,136.73,116.61
2024-05-31 04:00:00,37772.207,0.0,15.67,10.96,9.04,0.0,125.37,30.15,9.91,171.78,173.74,136.73,116.61
2024-05-31 05:00:00,37772.25,0.0,15.45,10.87,9.03,0.0,125.33,30.18,9.91,171.78,173.74,136.73,116.61
2024-05-31 06:00:00,37772.293,0.0,15.24,10.91,9.03,0.0,125.3,30.21,9.91,171.78,173.74,136.73,116.61
2024-05-31 07:00:00,37772.332,0.0,15.04,10.84,9.02,0.0,125.26,30.24,9.91,171.78,173.74,136.73,116.61
2024-05-31 08:00:00,37772.375,0.0,14.92,10.81,9.02,0.0,125.22,30.26,9.91,171.78,173.74,136.73,116.61
2024-05-31 09:00:00,37772.418,0.0,14.96,10.85,9.02,0.0,125.18,30.29,9.91,171.78,173.74,136.73,116.61
2024-05-31 10:00:00,37772.457,0.0,15.11,10.96,9.03,0.0,125.15,30.32,9.91,171.78,173.74,136.73,116.61
2024-05-31 11:00:00,37772.5,0.0,15.4,10.99,9.04,0.0,125.11,30.34,9.91,171.78,173.74,136.73,116.61
2024-05-31 12:00:00,37772.54,0.0,15.65,11.13,9.06,0.0,125.07,30.37,9.91,171.78,173.74,136.73,116.61
2024-05-31 13:00:00,37772.582,0.0,15.86,11.26,9.07,0.0,125.03,30.4,9.91,171.78,173.74,136.73,116.61
2024-05-31 14:00:00,37772.625,0.0,16.02,11.31,9.08,0.0,124.99,30.42,9.91,171.78,173.74,136.73,116.61
2024-05-31 15:00:00,37772.664,0.0,16.17,11.35,9.08,0.0,124.96,30.45,9.91,171.78,173.74,136.73,116.61
2024-05-31 16:00:00,37772.707,0.0,16.24,11.3,9.08,0.0,124.92,30.48,9.91,171.78,173.74,136.73,116.61
2024-05-31 17:00:00,37772.75,0.0,16.11,11.14,9.06,0.0,124.88,30.51,9.91,171.78,173.74,136.73,116.61
2024-05-31 18:00:00,37772.79,0.0,15.95,11.12,9.05,0.0,124.84,30.53,9.91,171.78,173.74,136.73,116.61
2024-05-31 19:00:00,37772.832,0.0,16.0,11.13,9.06,0.0,124.8,30.56,9.91,171.78,173.74,136.73,116.61
2024-05-31 20:00:00,37772.875,0.0,16.15,11.09,9.07,0.0,124.77,30.59,9.91,171.78,173.74,136.73,116.61
2024-05-31 21:00:00,37772.914,0.0,16.2,11.07,9.07,0.0,124.73,30.61,9.91,171.78,173.74,136.73,116.61
2024-05-31 22:00:00,37772.957,0.0,16.09,11.0,9.06,0.0,124.69,30.64,9.91,171.78,173.74,136.73,116.61
2024-05-31 23:00:00,37773.0,0.0,16.21,10.99,9.06,0.0,124.65,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 00:00:00,37773.043,0.0,16.36,11.0,9.06,0.0,124.65,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 01:00:00,37773.082,0.0,16.39,10.95,9.06,0.0,124.65,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 02:00:00,37773.125,0.0,16.45,10.92,9.06,0.0,124.65,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 03:00:00,37773.164,0.0,16.51,10.94,9.06,0.0,124.65,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 04:00:00,37773.207,0.0,16.47,10.94,9.06,0.0,124.66,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 05:00:00,37773.25,0.0,16.35,10.92,9.07,0.0,124.66,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 06:00:00,37773.293,0.0,16.22,11.01,9.07,0.0,124.66,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 07:00:00,37773.332,0.0,16.17,11.03,9.07,0.0,124.66,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 08:00:00,37773.375,0.0,16.19,11.1,9.08,0.0,124.66,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 09:00:00,37773.414,0.0,16.27,11.18,9.08,0.0,124.66,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 10:00:00,37773.457,0.0,16.49,11.28,9.09,0.0,124.66,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 11:00:00,37773.5,0.0,16.64,11.34,9.09,0.0,124.66,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 12:00:00,37773.54,0.0,16.79,11.38,9.09,0.0,124.67,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 13:00:00,37773.582,0.0,16.91,11.39,9.08,0.0,124.67,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 14:00:00,37773.625,0.0,16.98,11.39,9.08,0.0,124.67,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 15:00:00,37773.664,0.0,17.07,11.27,9.07,0.0,124.67,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 16:00:00,37773.707,0.0,17.06,11.2,9.06,0.0,124.67,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 17:00:00,37773.75,0.0,16.87,11.19,9.05,0.0,124.67,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 18:00:00,37773.79,0.0,16.69,11.16,9.05,0.0,124.67,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 19:00:00,37773.832,0.0,16.12,11.08,9.04,0.0,124.67,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 20:00:00,37773.875,0.0,15.9,11.08,9.04,0.0,124.68,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 21:00:00,37773.914,0.0,15.89,11.12,9.04,0.0,124.68,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 22:00:00,37773.957,0.0,15.88,11.06,9.04,0.0,124.68,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-01 23:00:00,37774.0,0.0,15.97,11.13,9.04,0.0,124.68,30.67,9.91,171.78,173.74,136.73,116.61
2024-06-02 00:00:00,37774.043,0.0,15.99,11.21,9.05,0.0,124.68,30.69,9.92,171.78,173.74,136.73,116.61
2024-06-02 01:00:00,37774.082,0.0,15.95,11.25,9.05,0.0,124.68,30.71,9.94,171.78,173.74,136.73,116.61
2024-06-02 02:00:00,37774.125,0.0,15.89,11.22,9.05,0.0,124.68,30.73,9.95,171.78,173.74,136.73,116.61
2024-06-02 03:00:00,37774.164,0.0,15.84,11.18,9.04,0.0,124.68,30.74,9.97,171.78,173.74,136.73,116.61
2024-06-02 04:00:00,37774.207,0.0,15.91,11.19,9.04,0.0,124.68,30.76,9.98,171.78,173.74,136.73,116.61
2024-06-02 05:00:00,37774.25,0.0,16.1,11.3,9.05,0.0,124.68,30.78,9.99,171.78,173.74,136.73,116.61
2024-06-02 06:00:00,37774.293,0.0,16.22,11.22,9.05,0.0,124.68,30.8,10.01,171.78,173.74,136.73,116.61
2024-06-02 07:00:00,37774.332,0.0,16.17,11.22,9.05,0.0,124.68,30.82,10.02,171.78,173.74,136.73,116.61
2024-06-02 08:00:00,37774.375,0.0,16.14,11.12,9.04,0.0,124.68,30.84,10.04,171.78,173.74,136.73,116.61
2024-06-02 09:00:00,37774.414,0.0,16.33,11.15,9.05,0.0,124.68,30.86,10.05,171.78,173.74,136.73,116.61
2024-06-02 10:00:00,37774.457,0.0,16.7,11.24,9.06,0.0,124.68,30.88,10.07,171.78,173.74,136.73,116.61
2024-06-02 11:00:00,37774.5,0.0,16.9,11.24,9.07,0.0,124.68,30.89,10.08,171.78,173.74,136.73,116.61
2024-06-02 12:00:00,37774.543,0.0,17.12,11.16,9.07,0.0,124.68,30.91,10.09,171.78,173.74,136.73,116.61
2024-06-02 13:00:00,37774.582,0.0,17.19,11.05,9.06,0.0,124.68,30.93,10.11,171.78,173.74,136.73,116.61
2024-06-02 14:00:00,37774.625,0.0,17.14,10.94,9.05,0.0,124.68,30.95,10.12,171.78,173.74,136.73,116.61
2024-06-02 15:00:00,37774.664,0.0,16.94,10.95,9.05,0.0,124.68,30.97,10.14,171.78,173.74,136.73,116.61
2024-06-02 16:00:00,37774.707,0.0,16.79,10.9,9.05,0.0,124.68,30.99,10.15,171.78,173.74,136.73,116.61
2024-06-02 17:00:00,37774.746,0.0,16.8,10.95,9.06,0.0,124.68,31.01,10.16,171.78,173.74,136.73,116.61
2024-06-02 18:00:00,37774.79,0.0,16.69,11.02,9.07,0.0,124.68,31.02,10.18,171.78,173.74,136.73,116.61
2024-06-02 19:00:00,37774.832,0.0,16.5,11.09,9.09,0.0,124.68,31.04,10.19,171.78,173.74,136.73,116.61
2024-06-02 20:00:00,37774.875,0.0,16.38,11.23,9.11,0.0,124.68,31.06,10.21,171.78,173.74,136.73,116.61
2024-06-02 21:00:00,37774.918,0.0,16.44,11.35,9.13,0.0,124.68,31.08,10.22,171.78,173.74,136.73,116.61
2024-06-02 22:00:00,37774.957,0.0,16.5,11.41,9.13,0.0,124.68,31.1,10.23,171.78,173.74,136.73,116.61
2024-06-02 23:00:00,37775.0,0.0,16.61,11.37,9.13,0.0,124.68,31.12,10.25,171.78,173.74,136.73,116.61
2024-06-03 00:00:00,37775.043,0.0,16.79,11.48,9.14,0.0,124.68,31.19,10.26,171.78,173.74,136.73,116.61
2024-06-03 01:00:00,37775.082,0.0,16.92,11.54,9.14,0.0,124.68,31.26,10.27,171.78,173.74,136.73,116.61
2024-06-03 02:00:00,37775.125,0.0,16.92,11.49,9.13,0.0,124.68,31.33,10.28,171.78,173.74,136.73,116.61
2024-06-03 03:00:00,37775.164,0.0,16.88,11.37,9.1,0.0,124.68,31.4,10.29,171.78,173.74,136.73,116.61
2024-06-03 04:00:00,37775.207,0.0,16.93,11.31,9.08,0.0,124.67,31.48,10.3,171.78,173.74,136.73,116.61
2024-06-03 05:00:00,37775.25,0.0,17.04,11.31,9.07,0.0,124.67,31.55,10.31,171.78,173.74,136.73,116.61
