$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37770.042,    9.02
 37770.084,    9.01
 37770.126,    9.01
 37770.167,    9.01
 37770.209,    9.01
 37770.250,    9.01
 37770.292,    9.01
 37770.334,    9.01
 37770.377,    9.02
 37770.417,    9.02
 37770.459,    9.02
 37770.500,    9.02
 37770.543,    9.02
 37770.584,    9.02
 37770.627,    9.02
 37770.669,    9.02
 37770.708,    9.02
 37770.751,    9.02
 37770.792,    9.02
 37770.835,    9.02
 37770.876,    9.02
 37770.918,    9.02
 37770.960,    9.02
 37771.000,    9.02
 37771.042,    9.02
 37771.084,    9.02
 37771.126,    9.02
 37771.168,    9.02
 37771.210,    9.02
 37771.250,    9.02
 37771.292,    9.02
 37771.335,    9.02
 37771.376,    9.02
 37771.418,    9.02
 37771.460,    9.02
 37771.500,    9.02
 37771.542,    9.02
 37771.584,    9.02
 37771.625,    9.02
 37771.667,    9.03
 37771.710,    9.02
 37771.751,    9.02
 37771.793,    9.02
 37771.835,    9.03
 37771.876,    9.03
 37771.918,    9.03
 37771.960,    9.03
 37772.000,    9.04
 37772.042,    9.04
 37772.084,    9.04
 37772.126,    9.03
 37772.169,    9.02
 37772.209,    9.02
 37772.250,    9.02
 37772.292,    9.02
 37772.333,    9.02
 37772.376,    9.02
 37772.418,    9.02
 37772.460,    9.01
 37772.500,    9.01
 37772.542,    9.01
 37772.585,    9.01
 37772.627,    9.02
 37772.667,    9.02
 37772.709,    9.02
 37772.752,    9.02
 37772.793,    9.03
 37772.833,    9.03
 37772.876,    9.03
 37772.918,    9.03
 37772.960,    9.03
 37773.000,    9.03
 37773.042,    9.03
 37773.084,    9.03
 37773.125,    9.03
 37773.169,    9.03
 37773.209,    9.04
 37773.250,    9.03
 37773.292,    9.03
 37773.333,    9.03
 37773.377,    9.03
 37773.419,    9.02
 37773.459,    9.01
 37773.500,    9.01
 37773.544,    9.01
 37773.585,    9.01
 37773.627,    9.01
 37773.667,    9.01
 37773.709,    9.01
 37773.752,    9.01
 37773.793,    9.00
 37773.835,    9.01
 37773.875,    9.01
 37773.917,    9.01
 37773.960,    9.01
 37774.000,    9.01
 37774.042,    9.01
 37774.085,    9.01
 37774.127,    9.02
 37774.168,    9.03
 37774.210,    9.04
 37774.250,    9.04
 37774.292,    9.05
 37774.334,    9.04
 37774.376,    9.04
 37774.418,    9.04
 37774.458,    9.04
 37774.500,    9.04
 37774.543,    9.04
 37774.584,    9.04
 37774.627,    9.04
 37774.668,    9.04
 37774.710,    9.03
 37774.752,    9.03
 37774.793,    9.02
 37774.834,    9.01
 37774.876,    9.01
 37774.919,    9.00
 37774.960,    9.00
 37775.000,    9.01
 37775.042,    9.01
 37775.085,    9.02
 37775.127,    9.02
 37775.167,    9.03
 37775.209,    9.03
 37775.250,    9.03
 37775.292,    9.03
 37775.335,    9.03
 37775.377,    9.03
 37775.417,    9.03
 37775.459,    9.04
 37775.500,    9.05
 37775.542,    9.06
 37775.585,    9.06
 37775.627,    9.05
 37775.667,    9.05
 37775.710,    9.04
 37775.750,    9.03
 37775.793,    9.02
 37775.835,    9.03
 37775.875,    9.03
 37775.918,    9.03
 37775.959,    9.04
 37776.000,    9.04
 37776.042,    9.05
 37776.085,    9.05
 37776.127,    9.04
 37776.167,    9.04
 37776.210,    9.04
 37776.250,    9.03
 37776.292,    9.03
 37776.334,    9.03
 37776.377,    9.04
 37776.417,    9.05
 37776.459,    9.05
 37776.500,    9.06
 37776.543,    9.06
 37776.584,    9.05
 37776.625,    9.04
 37776.669,    9.04
 37776.709,    9.05
 37776.750,    9.06
 37776.792,    9.07
 37776.833,    9.08
 37776.876,    9.09
 37776.918,    9.10
 37776.960,    9.09
 37777.000,    9.09
 37777.042,    9.08
 37777.084,    9.06
 37777.127,    9.05
 37777.167,    9.04
 37777.209,    9.04
 37777.250,    9.04
 37777.292,    9.04
 37777.334,    9.04
 37777.375,    9.04
 37777.417,    9.03
 37777.459,    9.03
 37777.500,    9.02
 37777.542,    9.02
 37777.585,    9.02
 37777.626,    9.02
 37777.668,    9.03
 37777.710,    9.04
 37777.752,    9.04
 37777.792,    9.04
 37777.833,    9.04
 37777.875,    9.05
 37777.917,    9.04
 37777.958,    9.04
 37778.000,    9.04
 37778.042,    9.04
 37778.084,    9.04
 37778.127,    9.04
 37778.167,    9.05
 37778.209,    9.06
 37778.250,    9.05
 37778.292,    9.03
 37778.334,    9.03
 37778.376,    9.02
 37778.418,    9.01
 37778.458,    9.00
 37778.500,    9.00
 37778.542,    9.01
 37778.584,    9.01
 37778.626,    9.01
 37778.668,    9.01
 37778.709,    9.02
 37778.751,    9.02
 37778.793,    9.02
 37778.835,    9.02
 37778.875,    9.02
 37778.918,    9.03
 37778.960,    9.04
 37779.000,    9.06
 37779.042,    9.07
 37779.084,    9.07
 37779.125,    9.07
 37779.167,    9.06
 37779.210,    9.06
 37779.250,    9.06
 37779.292,    9.07
 37779.334,    9.07
 37779.375,    9.07
 37779.417,    9.07
