Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
 31,  1,       25917.50,   259770.10708,  4098656.13909, 11,    92.500
 30,  1,       24971.25,   260465.72574,  4099279.65871, 11,    95.500
 29,  1,       24025.00,   261328.52847,  4099446.30543, 11,    97.500
 28,  1,       23086.02,   262256.76983,  4099311.18341, 11,    99.500
 27,  1,       22216.07,   263096.96643,  4099411.47396, 11,    99.500
 26,  1,       21326.32,   263759.72453,  4099950.32531, 11,    99.500
 25,  1,       20355.01,***************,***************, 11,   100.500
 24,  1,       19383.70,***************,***************, 11,   102.500
 23,  1,       18481.79,***************,***************, 11,   104.500
 22,  1,       17649.28,***************,***************, 11,   105.500
 21,  1,       16816.77,***************,***************, 11,   106.500
 20,  1,       15984.26,***************,***************, 11,   108.500
 19,  1,       15022.74,***************,***************, 11,   112.500
 18,  1,       13932.22,***************,***************, 11,   119.500
 17,  1,       12868.65,***************,***************, 11,   123.500
 16,  1,       11948.12,***************,***************, 11,   124.500
 15,  1,       11133.56,***************,***************, 11,   126.500
 14,  1,       10308.85,***************,***************, 11,   128.500
 13,  1,        9484.14,***************,***************, 11,   130.500
 12,  1,        8693.24,***************,***************, 11,   136.500
 11,  1,        7972.10,***************,***************, 11,   140.500
 10,  1,        7180.38,***************,***************, 11,   139.500
  9,  1,        6285.50,***************,***************, 11,   142.500
  8,  1,        5394.01,***************,***************, 11,   146.500
  7,  1,        4535.91,***************,***************, 11,   148.500
  6,  1,        3711.20,***************,***************, 11,   153.500
  5,  1,        2886.49,***************,***************, 11,   160.500
  4,  1,        2061.78,***************,***************, 11,   163.500
  3,  1,        1237.07,***************,***************, 11,   166.500
  2,  1,         412.36,***************,***************, 11,   171.500
 36,  2,       28426.65,***************,***************, 11,   131.500
 35,  2,       27634.64,***************,***************, 11,   141.500
 34,  2,       26806.89,***************,***************, 11,   171.500
 41,  3,       30623.84,   263180.76355,  4099693.33891, 11,   119.500
 40,  3,       29907.10,   263775.83294,  4099296.98438, 11,   131.500
 39,  3,       29173.82,   264439.90403,  4098993.06734, 11,   146.500
 45,  4,       31974.44,   262460.14384,  4098721.16856, 11,   131.500
 44,  4,       31283.04,***************,***************, 11,   141.500
