JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 37769.042,   215.167,   175.206,    18.640,     0.000,     0.000,     0.000,     0.250,    82.706,  2216.730,     1.000,    12.815,  -133.426,     0.000,   330.343,   399.423,    72.998,    -8.653,     0.000,
 37769.085,   199.986,   175.207,    18.578,     0.000,     0.000,     0.000,     0.250,    82.707,  2216.730,     1.000,    12.808,  -127.818,     0.000,   322.651,   399.095,    54.082,    -2.708,     0.000,
 37769.126,   203.932,   175.205,    18.534,     0.000,     0.000,     0.000,     0.250,    82.705,  2216.730,     1.000,    12.787,  -156.035,     0.000,   313.648,   398.856,    68.714,     2.113,     0.000,
 37769.167,   194.625,   175.203,    18.496,     0.000,     0.000,     0.000,     0.250,    82.703,  2216.730,     1.000,    12.764,  -142.709,     0.000,   315.395,   398.647,    58.610,     0.847,     0.000,
 37769.209,   204.316,   175.201,    18.458,     0.000,     0.000,     0.000,     0.250,    82.701,  2216.730,     1.000,    12.747,  -149.869,     0.000,   312.599,   398.439,    61.836,     2.193,     0.000,
 37769.250,   200.547,   175.200,    18.419,     0.000,     0.000,    16.436,     0.250,    82.700,  2216.730,     1.000,    12.735,  -129.633,    15.506,   308.798,   398.216,    51.811,     3.910,     0.000,
 37769.292,   194.685,   175.198,    18.393,     0.000,     0.000,   149.139,     0.250,    82.698,  2216.730,     1.000,    12.731,   -20.668,   140.697,   308.732,   398.076,    67.428,     4.593,     0.000,
 37769.336,   193.843,   175.196,    18.402,     0.000,     0.000,   352.755,     0.250,    82.696,  2216.730,     1.000,    12.726,   192.411,   332.788,   321.188,   398.109,    66.359,    -2.902,     0.000,
 37769.376,   198.846,   175.194,    18.475,     0.000,     0.000,   561.247,     0.250,    82.694,  2216.730,     1.000,    12.729,   424.107,   529.479,   342.415,   398.490,    64.196,   -14.900,     0.000,
 37769.419,   193.708,   175.192,    18.617,     0.000,     0.000,   756.762,     0.250,    82.692,  2216.730,     1.000,    12.738,   629.177,   713.926,   364.017,   399.248,    80.386,   -30.868,     0.000,
 37769.460,   193.735,   175.191,    18.795,     0.000,     0.000,   902.036,     0.250,    82.691,  2216.730,     1.000,    12.740,   799.198,   850.977,   385.802,   400.229,    81.593,   -44.241,     0.000,
 37769.500,   183.585,   175.189,    18.978,     0.000,     0.000,   984.849,     0.250,    82.689,  2216.730,     1.000,    12.737,   865.499,   929.103,   395.017,   401.238,   117.226,   -59.843,     0.000,
 37769.542,   191.531,   175.188,    19.162,     0.000,     0.000,  1012.296,     0.250,    82.688,  2216.730,     1.000,    12.740,   913.564,   954.996,   406.023,   402.237,   102.032,   -56.814,     0.000,
 37769.584,   194.815,   175.186,    19.327,     0.000,     0.000,   981.985,     0.250,    82.686,  2216.730,     1.000,    12.759,   882.166,   926.401,   415.720,   403.157,   126.819,   -70.022,     0.000,
 37769.626,   191.420,   175.184,    19.372,     0.000,     0.000,   891.573,     0.250,    82.684,  2216.730,     1.000,    12.757,   762.038,   841.107,   421.500,   403.441,   228.703,  -131.576,     0.000,
 37769.668,   191.218,   175.183,    19.180,     0.000,     0.000,   740.460,     0.250,    82.683,  2216.730,     1.000,    12.648,   641.867,   698.547,   422.278,   402.434,   200.609,  -124.085,     0.000,
 37769.710,   196.484,   175.182,    19.130,     0.000,     0.000,   543.288,     0.250,    82.682,  2216.730,     1.000,    12.562,   501.227,   512.536,   422.278,   402.106,    80.108,   -48.627,     0.000,
 37769.752,   189.590,   175.181,    19.138,     0.000,     0.000,   328.575,     0.250,    82.681,  2216.730,     1.000,    12.577,   285.651,   309.976,   415.099,   402.162,    85.634,   -48.373,     0.000,
 37769.793,   192.881,   175.179,    19.077,     0.000,     0.000,   136.133,     0.250,    82.679,  2216.730,     1.000,    12.599,    51.740,   128.427,   402.751,   401.863,   160.608,   -83.033,     0.000,
 37769.834,   193.339,   175.178,    18.894,     0.000,     0.000,     8.802,     0.250,    82.678,  2216.730,     1.000,    12.559,   -84.299,     8.303,   379.025,   400.870,   123.781,   -53.022,     0.000,
 37769.877,   187.762,   175.178,    18.713,     0.000,     0.000,     0.000,     0.250,    82.678,  2216.730,     1.000,    12.562,  -113.612,     0.000,   356.449,   399.867,   102.259,   -32.065,     0.000,
 37769.917,   188.654,   175.176,    18.530,     0.000,     0.000,     0.000,     0.250,    82.676,  2216.730,     1.000,    12.609,  -191.666,     0.000,   340.072,   398.890,   167.388,   -34.540,     0.000,
 37769.959,   195.299,   175.176,    18.166,     0.000,     0.000,     0.000,     0.250,    82.676,  2216.730,     1.000,    12.553,  -210.394,     0.000,   326.965,   396.896,   157.703,   -17.240,     0.000,
 37770.000,   187.789,   175.176,    17.941,     0.000,     0.000,     0.000,     0.250,    82.676,  2216.730,     1.000,    12.458,  -164.196,     0.000,   312.948,   395.652,    81.146,     0.346,     0.000,
 37770.042,   183.253,   175.175,    17.777,     0.000,     0.000,     0.000,     0.250,    82.675,  2216.730,     1.000,    12.449,  -172.353,     0.000,   305.235,   394.758,    77.597,     5.233,     0.000,
 37770.084,   184.212,   175.175,    17.644,     0.000,     0.000,     0.000,     0.250,    82.675,  2216.730,     1.000,    12.508,  -192.195,     0.000,   301.715,   394.032,    91.213,     8.665,     0.000,
 37770.126,   191.564,   175.175,    17.546,     0.000,     0.000,     0.000,     0.250,    82.675,  2216.730,     1.000,    12.582,  -153.624,     0.000,   301.715,   393.491,    56.670,     5.178,     0.000,
 37770.169,   188.516,   175.175,    17.490,     0.000,     0.000,     0.000,     0.250,    82.675,  2216.730,     1.000,    12.657,  -160.747,     0.000,   295.445,   393.176,    54.770,     8.247,     0.000,
 37770.209,   190.420,   175.174,    17.453,     0.000,     0.000,     0.000,     0.250,    82.674,  2216.730,     1.000,    12.694,  -175.079,     0.000,   291.690,   392.972,    62.321,    11.476,     0.000,
 37770.250,   191.221,   175.174,    17.421,     0.000,     0.000,    15.744,     0.250,    82.674,  2216.730,     1.000,    12.698,  -154.708,    14.853,   298.048,   392.794,    65.951,     8.864,     0.000,
 37770.292,   187.910,   175.174,    17.414,     0.000,     0.000,   150.124,     0.250,    82.674,  2216.730,     1.000,    12.708,     3.462,   141.626,   308.728,   392.746,    53.480,     0.665,     0.000,
 37770.335,   181.427,   175.174,    17.457,     0.000,     0.000,   353.926,     0.250,    82.674,  2216.730,     1.000,    12.754,   171.793,   333.892,   305.703,   392.969,    71.668,     3.165,     0.000,
 37770.376,   186.380,   175.174,    17.550,     0.000,     0.000,   564.099,     0.250,    82.674,  2216.730,     1.000,    12.800,   420.731,   532.169,   336.606,   393.454,    72.859,   -18.269,     0.000,
 37770.419,   183.913,   175.172,    17.681,     0.000,     0.000,   758.334,     0.250,    82.672,  2216.730,     1.000,    12.810,   529.315,   715.410,   352.749,   394.169,   218.803,   -74.128,     0.000,
 37770.459,   184.397,   175.173,    17.822,     0.000,     0.000,   900.158,     0.250,    82.673,  2216.730,     1.000,    12.709,   773.974,   849.206,   365.072,   394.912,    77.413,   -32.021,     0.000,
 37770.500,   117.089,   175.173,    18.016,     0.000,     0.000,   986.378,     0.250,    82.673,  2216.730,     1.000,    12.652,   839.304,   930.545,   369.860,   395.994,   111.404,   -46.297,     0.000,
 37770.544,   183.348,   175.173,    18.233,     0.000,     0.000,  1013.058,     0.250,    82.673,  2216.730,     1.000,    12.623,   904.640,   955.715,   383.827,   397.138,    78.106,   -40.342,     0.000,
 37770.584,   181.182,   175.172,    18.422,     0.000,     0.000,   982.851,     0.250,    82.672,  2216.730,     1.000,    12.610,   869.077,   927.218,   396.990,   398.192,   140.533,   -83.594,     0.000,
 37770.626,   178.141,   175.171,    18.479,     0.000,     0.000,   890.754,     0.250,    82.671,  2216.730,     1.000,    12.578,   789.114,   840.334,   411.139,   398.530,   201.285,  -137.457,     0.000,
 37770.667,   186.702,   175.170,    18.377,     0.000,     0.000,   742.421,     0.250,    82.670,  2216.730,     1.000,    12.527,   637.060,   700.397,   409.160,   398.007,   240.795,  -166.305,     0.000,
 37770.710,   181.488,   175.171,    18.266,     0.000,     0.000,   541.251,     0.250,    82.671,  2216.730,     1.000,    12.473,   485.105,   510.614,   408.635,   397.406,   153.342,  -116.604,     0.000,
