Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1/1/2024,0,0,374,50,"1,602",7.801198255
1/2/2024,0,0,374,50,"1,364",7.801198255
1/3/2024,0,245,374,50,"1,503",5.153546765
1/4/2024,0,327,375,50,"1,717",8.097235042
1/5/2024,0,344,375,50,"1,701",2.318269058
1/6/2024,0,0,375,50,"2,012",-0.116727055
1/7/2024,0,0,376,50,"1,825",7.505167484
1/8/2024,0,176,377,50,"1,460",5.970774506
1/9/2024,0,173,377,50,"1,059",8.280687978
1/10/2024,0,0,377,50,"1,543",2.297423705
1/11/2024,0,173,377,50,"1,636",-165.0382377
1/12/2024,0,278,377,50,"1,112",14.76847264
1/13/2024,0,100,377,50,"1,201",20.10964111
1/14/2024,0,0,377,50,"2,161",8.243178074
1/15/2024,0,325,377,50,"2,696",4.978440392
1/16/2024,0,250,377,50,"2,221",6.296006215
1/17/2024,0,300,378,50,"1,895",6.412748309
1/18/2024,0,0,378,50,"1,611",0.729682074
1/19/2024,0,178,378,50,"1,670",9.7942341
1/20/2024,0,0,378,50,"1,532",10.97421097
1/21/2024,0,0,376,50,888,16.32787673
1/22/2024,0,0,372,50,"1,735",6.204273732
1/23/2024,0,165,365,50,"1,209",7.367563496
1/24/2024,0,216,365,50,"1,288",0.070890139
1/25/2024,0,0,329,50,"1,337",263.9436322
1/26/2024,0,214,365,50,999,5.99578562
1/27/2024,0,0,365,50,"1,030",6.475284366
1/28/2024,0,25,365,50,867,7.538511626
1/29/2024,0,602,389,50,"1,219",20.71421648
1/30/2024,0,602,434,50,"1,521",15.54400516
1/31/2024,0,602,474,50,"1,390",1.834595527
2/1/2024,0,602,495,50,"1,648",28.11096287
2/2/2024,0,602,495,50,"1,822",5.974941772
2/3/2024,0,478,495,50,"1,316",28.83645812
2/4/2024,0,420,496,50,"1,916",103.5752527
2/5/2024,0,53,497,50,"2,320",15.92761769
2/6/2024,0,0,505,50,"2,385",6.433604188
2/7/2024,0,153,510,50,"2,412",79.16684605
2/8/2024,0,0,510,50,"2,198",6.016649019
2/9/2024,0,275,510,50,"1,957",9.310569592
2/10/2024,0,400,510,50,"1,977",11.69970773
2/11/2024,0,400,510,50,"1,633",10.53223567
2/12/2024,0,298,511,50,"1,369",13.40503832
2/13/2024,0,365,511,50,"1,783",8.493338844
2/14/2024,0,373,502,50,"2,032",13.97627105
2/15/2024,0,372,497,50,"1,615",10.34043767
2/16/2024,0,347,497,50,"1,606",6.17091004
2/17/2024,0,264,497,50,"2,155",4.432224789
2/18/2024,0,262,491,50,"1,908",95.21952082
2/19/2024,0,262,451,50,"2,899",30.11652607
