Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1/1/2023,0,314,146,543,9962,12.25
1/2/2023,0,296,203,578,1726,17.88
1/3/2023,0,173,203,578,1290,27.41
1/4/2023,0,198,334,579,2845,3.31
1/5/2023,0,300,547,1163,5969,10.69
1/6/2023,0,301,825,2674,3789,40.66
1/7/2023,0,300,900,4747,1797,53.95
1/8/2023,0,295,900,6610,1698,0.76
1/9/2023,0,99,800,5847,14943,16.56
1/10/2023,0,0,663,5760,16356,10.49
1/11/2023,0,0,677,6379,8641,14.36
1/12/2023,0,0,692,6001,6907,10.32
1/13/2023,0,312,768,5798,5580,6.2
1/14/2023,0,499,768,5489,6496,6.82
1/15/2023,0,433,817,5494,9193,100.42
1/16/2023,0,342,852,5404,7926,5.7
1/17/2023,0,328,918,5504,5885,7.25
1/18/2023,0,466,1031,5493,3337,7.38
1/19/2023,0,517,1042,5476,4032,-89.56
1/20/2023,0,678,980,4922,3526,12.02
1/21/2023,0,597,882,4205,4182,5.86
1/22/2023,0,594,851,3778,2947,9.8
1/23/2023,0,629,849,3316,2772,7.96
1/24/2023,0,728,814,3004,3107,8.28
1/25/2023,0,965,798,2748,2550,10.84
1/26/2023,0,1963,798,2490,1894,15.29
1/27/2023,0,2175,798,2223,2395,38.06
1/28/2023,0,2238,798,1950,2479,2.55
1/29/2023,0,2221,798,1986,2400,8.53
1/30/2023,0,2204,637,1806,2354,17.88
1/31/2023,0,2876,520,1319,2268,15.16
2/1/2023,0,3665,551,841,2029,5.91
2/2/2023,0,3795,613,753,2093,13.03
2/3/2023,0,3846,629,750,1968,20.84
2/4/2023,0,4052,584,715,2005,34.52
2/5/2023,0,4150,563,666,2812,6.78
2/6/2023,0,4221,525,619,3100,5
2/7/2023,0,4248,529,568,2325,11.75
2/8/2023,0,4195,568,549,1906,15.24
2/9/2023,0,4138,562,549,1969,13.14
2/10/2023,0,4082,556,548,1977,9.59
2/11/2023,0,4027,542,518,2061,15.24
2/12/2023,0,3974,527,499,2265,12.51
2/13/2023,0,3922,522,499,2112,27.73
2/14/2023,0,3864,517,498,1735,17.4
