 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37770.042,   1,  0.33705254E+05,   0.00000000E+00,  -0.33924674E+05,   0.00000000E+00,   0.00000000E+00,  -0.61264552E+03,   0.00000000E+00,   0.00000000E+00,   0.12542038E-08,
 37771.042,   1,  0.14541252E+08,   0.00000000E+00,  -0.14402483E+08,   0.00000000E+00,   0.00000000E+00,  -0.25137368E+06,   0.00000000E+00,   0.00000000E+00,   0.19030623E-08,
 37772.042,   1,  0.30406752E+08,   0.00000000E+00,  -0.28708326E+08,   0.00000000E+00,   0.00000000E+00,  -0.54127998E+06,   0.00000000E+00,   0.00000000E+00,  -0.39919775E-09,
 37773.042,   1,  0.46438998E+08,   0.00000000E+00,  -0.43003228E+08,   0.00000000E+00,   0.00000000E+00,  -0.80108615E+06,   0.00000000E+00,   0.00000000E+00,  -0.26260506E-09,
 37774.042,   1,  0.61557711E+08,   0.00000000E+00,  -0.57282799E+08,   0.00000000E+00,   0.00000000E+00,  -0.96182749E+06,   0.00000000E+00,   0.00000000E+00,  -0.29680962E-09,
 37775.042,   1,  0.76166440E+08,   0.00000000E+00,  -0.71597974E+08,   0.00000000E+00,   0.00000000E+00,  -0.11079982E+07,   0.00000000E+00,   0.00000000E+00,  -0.31597867E-09,
 37776.042,   1,  0.90109749E+08,   0.00000000E+00,  -0.86039712E+08,   0.00000000E+00,   0.00000000E+00,  -0.12836633E+07,   0.00000000E+00,   0.00000000E+00,  -0.37775767E-09,
 37777.042,   1,  0.10402945E+09,   0.00000000E+00,  -0.10056533E+09,   0.00000000E+00,   0.00000000E+00,  -0.14589278E+07,   0.00000000E+00,   0.00000000E+00,  -0.53623876E-09,
 37778.042,   1,  0.11951841E+09,   0.00000000E+00,  -0.11508480E+09,   0.00000000E+00,   0.00000000E+00,  -0.16457873E+07,   0.00000000E+00,   0.00000000E+00,  -0.40511248E-09,
 37779.042,   1,  0.13774611E+09,   0.00000000E+00,  -0.12843195E+09,   0.00000000E+00,   0.00000000E+00,  -0.18003636E+07,   0.00000000E+00,   0.00000000E+00,  -0.15453983E-09,
 37780.042,   1,  0.15504329E+09,   0.00000000E+00,  -0.13948176E+09,   0.00000000E+00,   0.00000000E+00,  -0.19349660E+07,   0.00000000E+00,   0.00000000E+00,  -0.80421866E-10,
 37781.042,   1,  0.16995397E+09,   0.00000000E+00,  -0.14976170E+09,   0.00000000E+00,   0.00000000E+00,  -0.20920439E+07,   0.00000000E+00,   0.00000000E+00,  -0.63408237E-10,
