,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
2024-01-01 00:00:00,37621.0,10.0,6.299779479139644,2.0,29.37,10.0,
2024-01-01 01:00:00,37621.041666666664,9.444444444444445,5.945676044736546,6.0,29.35,10.0,
2024-01-01 02:00:00,37621.083333333336,9.444444444444445,5.759514091025666,4.0,29.36,10.0,
2024-01-01 03:00:00,37621.125,7.777777777777779,5.38469854388284,4.0,29.38,10.0,0.0
2024-01-01 04:00:00,37621.166666666664,7.777777777777779,5.89136814654514,3.0,29.38,10.0,0.0
2024-01-01 05:00:00,37621.208333333336,7.777777777777779,6.056901457994974,2.0,29.37,10.0,0.0
2024-01-01 06:00:00,37621.25,6.666666666666667,5.122787867854849,2.0,29.39,10.0,0.0
2024-01-01 07:00:00,37621.291666666664,7.222222222222222,5.833447385111847,1.0,29.41,10.0,0.0
2024-01-01 08:00:00,37621.333333333336,6.666666666666667,5.283751638995578,0.0,29.43,10.0,7.0
2024-01-01 09:00:00,37621.375,7.222222222222222,5.833447385111847,3.0,29.45,10.0,38.0
2024-01-01 10:00:00,37621.416666666664,7.777777777777779,6.383143131228116,1.0,29.47,10.0,0.0
2024-01-01 11:00:00,37621.458333333336,8.333333333333334,6.9328388773444,2.0,29.46,10.0,92.0
2024-01-01 12:00:00,37621.5,8.333333333333334,6.769828956570512,2.0,29.44,10.0,110.0
2024-01-01 13:00:00,37621.541666666664,8.333333333333334,6.769828956570512,1.0,29.43,10.0,96.0
2024-01-01 14:00:00,37621.583333333336,7.777777777777779,6.220815260331952,2.0,29.42,10.0,77.0
2024-01-01 15:00:00,37621.625,7.777777777777779,6.220815260331952,4.0,29.43,10.0,77.0
2024-01-01 16:00:00,37621.666666666664,7.777777777777779,6.220815260331952,2.0,29.45,9.937368713505494,59.0
2024-01-01 17:00:00,37621.708333333336,8.333333333333334,6.605226440778344,1.0,29.45,9.874737427010988,20.0
2024-01-01 18:00:00,37621.75,8.333333333333334,6.438997611213159,1.0,29.47,9.81210614051648,0.0
2024-01-01 19:00:00,37621.791666666664,8.333333333333334,5.757104968590872,2.0,29.47,9.749474854021976,0.0
2024-01-01 20:00:00,37621.833333333336,8.333333333333334,6.10152055036574,1.0,29.48,9.68684356752747,0.0
2024-01-01 21:00:00,37621.875,7.222222222222222,5.177253649602698,2.0,29.5,9.624212281032964,0.0
2024-01-01 22:00:00,37621.916666666664,7.777777777777779,6.056901457994974,1.0,29.5,9.561580994538456,0.0
2024-01-01 23:00:00,37621.958333333336,7.777777777777779,6.056901457994974,4.0,29.51,9.498949708043952,0.0
2024-01-02 00:00:00,37622.0,7.777777777777779,6.220815260331952,4.0,29.5,9.436318421549446,0.0
2024-01-02 01:00:00,37622.041666666664,7.222222222222222,5.671801564093408,5.0,29.49,9.373687135054938,0.0
2024-01-02 02:00:00,37622.083333333336,7.222222222222222,5.671801564093408,5.0,29.5,9.311055848560432,0.0
2024-01-02 03:00:00,37622.125,6.666666666666667,5.283751638995578,6.0,29.5,9.248424562065926,0.0
2024-01-02 04:00:00,37622.166666666664,6.666666666666667,5.283751638995578,3.0,29.5,9.18579327557142,0.0
2024-01-02 05:00:00,37622.208333333336,6.666666666666667,5.283751638995578,7.0,29.5,9.123161989076914,0.0
2024-01-02 06:00:00,37622.25,6.111111111111112,4.734055892879308,8.0,29.5,9.060530702582408,0.0
2024-01-02 07:00:00,37622.291666666664,6.111111111111112,4.734055892879308,2.0,29.52,8.997899416087902,0.0
2024-01-02 08:00:00,37622.333333333336,6.111111111111112,4.734055892879308,6.0,29.53,8.935268129593396,13.0
2024-01-02 09:00:00,37622.375,6.666666666666667,5.283751638995578,5.0,29.53,8.87263684309889,27.0
2024-01-02 10:00:00,37622.416666666664,7.222222222222222,5.833447385111847,4.0,29.53,8.810005556604384,0.0
2024-01-02 11:00:00,37622.458333333336,8.88888888888889,7.318842652809071,6.0,29.52,8.747374270109878,118.0
2024-01-02 12:00:00,37622.5,11.11111111111111,6.801903966268863,4.0,29.49,8.684742983615372,175.0
2024-01-02 13:00:00,37622.541666666664,12.77777777777778,8.013750674542457,2.0,29.47,8.622111697120866,269.0
2024-01-02 14:00:00,37622.583333333336,13.333333333333334,7.713193191455621,1.0,29.45,5.905559885470248,363.0
2024-01-02 15:00:00,37622.625,12.77777777777778,7.392548862857801,3.0,29.43,2.896429275467835,350.0
2024-01-02 16:00:00,37622.666666666664,14.444444444444445,8.561411547895064,2.0,29.41,2.9387820881872795,202.0
2024-01-02 17:00:00,37622.708333333336,11.11111111111111,6.202886970193855,1.0,29.4,2.981134900906724,34.0
2024-01-02 18:00:00,37622.75,11.11111111111111,6.6045988013353245,7.0,29.38,3.023487713626168,0.0
2024-01-02 19:00:00,37622.791666666664,10.555555555555555,6.067512558524738,14.0,29.37,3.065840526345612,0.0
2024-01-02 20:00:00,37622.833333333336,11.11111111111111,5.791289834833886,6.0,29.36,3.108193339065057,0.0
2024-01-02 21:00:00,37622.875,11.11111111111111,5.369271004078907,6.0,29.35,3.1505461517845013,0.0
2024-01-02 22:00:00,37622.916666666664,9.444444444444445,6.670287302795972,2.0,29.37,3.1928989645039456,0.0
2024-01-02 23:00:00,37622.958333333336,9.444444444444445,7.193955403878805,6.0,29.38,3.2352517772233904,0.0
2024-01-03 00:00:00,37623.0,9.444444444444445,7.364961634312353,3.0,29.38,3.2776045899428348,0.0
2024-01-03 01:00:00,37623.041666666664,8.88888888888889,7.318842652809071,2.0,29.38,3.319957402662279,0.0
2024-01-03 02:00:00,37623.083333333336,9.444444444444445,7.193955403878805,3.0,29.38,3.362310215381723,0.0
