$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,QWD(m3s-1)
 37769.042,   10.4679
 37769.085,   10.4561
 37769.126,   10.4441
 37769.167,   10.4322
 37769.209,   10.4200
 37769.250,   10.4078
 37769.292,   10.3959
 37769.333,   10.3840
 37769.376,   10.3716
 37769.418,   10.3594
 37769.458,   10.3477
 37769.500,   10.3354
 37769.543,   10.3232
 37769.584,   10.3114
 37769.626,   10.2992
 37769.668,   10.2870
 37769.709,   10.2751
 37769.752,   10.2625
 37769.793,   10.2506
 37769.835,   10.2386
 37769.877,   10.2263
 37769.917,   10.2146
 37769.959,   10.2026
 37770.000,   10.1905
 37770.042,   10.1788
 37770.084,   10.1670
 37770.126,   10.1554
 37770.169,   10.1434
 37770.209,   10.1321
 37770.250,   10.1203
 37770.292,   10.1088
 37770.335,   10.0967
 37770.376,   10.0852
 37770.418,   10.0735
 37770.459,   10.0620
 37770.500,   10.0502
 37770.543,   10.0384
 37770.584,   10.0270
 37770.626,   10.0153
 37770.667,   10.0038
 37770.708,    9.9922
 37770.750,    9.9804
 37770.792,    9.9689
 37770.834,    9.9570
 37770.876,    9.9453
 37770.918,    9.9335
 37770.960,    9.9217
 37771.000,    9.9101
 37771.042,    9.9100
 37771.084,    9.9100
 37771.126,    9.9100
 37771.168,    9.9100
 37771.209,    9.9100
 37771.250,    9.9100
 37771.292,    9.9100
 37771.335,    9.9100
 37771.376,    9.9100
 37771.418,    9.9100
 37771.460,    9.9100
 37771.500,    9.9100
 37771.543,    9.9100
 37771.585,    9.9100
 37771.627,    9.9100
 37771.667,    9.9100
 37771.709,    9.9100
 37771.750,    9.9100
 37771.793,    9.9100
 37771.834,    9.9100
 37771.876,    9.9100
 37771.918,    9.9100
 37771.959,    9.9100
 37772.000,    9.9100
 37772.043,    9.9100
 37772.084,    9.9100
 37772.125,    9.9100
 37772.168,    9.9100
 37772.209,    9.9100
 37772.250,    9.9100
 37772.292,    9.9100
 37772.335,    9.9100
 37772.375,    9.9100
 37772.418,    9.9100
 37772.460,    9.9100
 37772.500,    9.9100
 37772.542,    9.9100
 37772.585,    9.9100
 37772.627,    9.9100
 37772.667,    9.9100
 37772.709,    9.9100
 37772.751,    9.9100
 37772.793,    9.9100
 37772.834,    9.9100
 37772.876,    9.9100
 37772.918,    9.9100
 37772.960,    9.9100
 37773.000,    9.9100
 37773.042,    9.9100
 37773.084,    9.9100
 37773.125,    9.9100
 37773.168,    9.9100
 37773.209,    9.9100
 37773.250,    9.9100
 37773.292,    9.9100
 37773.336,    9.9100
 37773.377,    9.9100
 37773.418,    9.9100
 37773.459,    9.9100
 37773.500,    9.9100
 37773.543,    9.9100
 37773.584,    9.9100
 37773.626,    9.9100
 37773.667,    9.9100
 37773.709,    9.9100
 37773.752,    9.9100
 37773.792,    9.9100
 37773.835,    9.9100
 37773.875,    9.9100
 37773.917,    9.9100
 37773.960,    9.9100
 37774.000,    9.9100
 37774.042,    9.9236
 37774.084,    9.9379
 37774.126,    9.9522
 37774.168,    9.9663
 37774.210,    9.9806
 37774.250,    9.9946
 37774.292,   10.0086
 37774.334,   10.0228
 37774.376,   10.0370
 37774.418,   10.0515
 37774.460,   10.0658
 37774.500,   10.0794
 37774.543,   10.0938
 37774.584,   10.1078
 37774.626,   10.1221
 37774.668,   10.1365
 37774.709,   10.1502
 37774.751,   10.1646
 37774.792,   10.1784
 37774.835,   10.1932
 37774.877,   10.2073
 37774.917,   10.2210
 37774.959,   10.2353
 37775.000,   10.2500
 37775.042,   10.2592
 37775.085,   10.2689
 37775.126,   10.2785
 37775.167,   10.2879
 37775.209,   10.2976
 37775.250,   10.3073
 37775.292,   10.3167
 37775.335,   10.3264
 37775.377,   10.3362
 37775.418,   10.3456
 37775.460,   10.3552
 37775.500,   10.3649
 37775.544,   10.3746
 37775.585,   10.3841
 37775.625,   10.3933
 37775.667,   10.4032
 37775.710,   10.4128
 37775.751,   10.4222
 37775.793,   10.4318
 37775.833,   10.4411
 37775.875,   10.4508
 37775.918,   10.4606
 37775.958,   10.4699
 37776.000,   10.4796
 37776.042,   10.4800
 37776.085,   10.4800
 37776.127,   10.4800
 37776.168,   10.4800
 37776.210,   10.4800
 37776.250,   10.4800
 37776.293,   10.4800
 37776.335,   10.4800
 37776.377,   10.4800
 37776.417,   10.4800
 37776.460,   10.4800
 37776.500,   10.4800
 37776.542,   10.4800
 37776.585,   10.4800
 37776.627,   10.4800
 37776.667,   10.4800
 37776.709,   10.4800
 37776.751,   10.4800
 37776.793,   10.4800
 37776.834,   10.4800
 37776.876,   10.4800
 37776.919,   10.4800
 37776.959,   10.4800
 37777.000,   10.4800
 37777.042,   10.4800
 37777.085,   10.4800
 37777.127,   10.4800
 37777.167,   10.4800
 37777.209,   10.4800
 37777.250,   10.4800
 37777.292,   10.4800
 37777.335,   10.4800
 37777.375,   10.4800
 37777.418,   10.4800
 37777.460,   10.4800
 37777.500,   10.4800
 37777.543,   10.4800
 37777.585,   10.4800
 37777.627,   10.4800
 37777.667,   10.4800
 37777.709,   10.4800
 37777.751,   10.4800
 37777.792,   10.4800
 37777.834,   10.4800
 37777.877,   10.4800
 37777.918,   10.4800
 37777.959,   10.4800
 37778.000,   10.4800
 37778.042,   10.4800
 37778.084,   10.4800
 37778.126,   10.4800
 37778.168,   10.4800
 37778.210,   10.4800
 37778.250,   10.4800
 37778.292,   10.4800
 37778.335,   10.4800
 37778.375,   10.4800
 37778.417,   10.4800
 37778.459,   10.4800
 37778.500,   10.4800
 37778.542,   10.4800
 37778.585,   10.4800
 37778.626,   10.4800
 37778.667,   10.4800
 37778.709,   10.4800
 37778.751,   10.4800
 37778.793,   10.4800
 37778.834,   10.4800
 37778.875,   10.4800
 37778.918,   10.4800
 37778.960,   10.4800
 37779.000,   10.4800
 37779.043,   10.4954
 37779.083,   10.5102
 37779.126,   10.5257
 37779.168,   10.5415
 37779.210,   10.5569
 37779.250,   10.5720
 37779.292,   10.5873
 37779.335,   10.6032
 37779.376,   10.6182
 37779.417,   10.6336
 37779.460,   10.6493
 37779.500,   10.6649
 37779.543,   10.6801
 37779.585,   10.6955
 37779.626,   10.7107
 37779.668,   10.7265
 37779.710,   10.7419
 37779.750,   10.7568
 37779.794,   10.7728
 37779.833,   10.7875
 37779.877,   10.8035
 37779.917,   10.8185
 37779.959,   10.8341
 37780.000,   10.8496
 37780.042,   10.8588
 37780.085,   10.8681
 37780.127,   10.8773
 37780.167,   10.8863
 37780.210,   10.8957
 37780.250,   10.9045
 37780.293,   10.9138
 37780.335,   10.9230
 37780.376,   10.9322
 37780.418,   10.9416
 37780.459,   10.9504
 37780.500,   10.9597
 37780.544,   10.9691
 37780.584,   10.9779
 37780.626,   10.9872
 37780.668,   10.9965
 37780.709,   11.0055
 37780.752,   11.0149
 37780.793,   11.0238
 37780.835,   11.0331
 37780.877,   11.0424
 37780.917,   11.0511
 37780.960,   11.0606
 37781.000,   11.0695
 37781.043,   11.1220
 37781.085,   11.1773
 37781.125,   11.2289
 37781.167,   11.2834
 37781.210,   11.3406
 37781.250,   11.3930
 37781.293,   11.4470
 37781.336,   11.5031
 37781.377,   11.5561
 37781.417,   11.6088
 37781.459,   11.6633
 37781.500,   11.7170
 37781.544,   11.7734
 37781.584,   11.8254
 37781.627,   11.8817
 37781.668,   11.9353
 37781.710,   11.9901
 37781.750,   12.0421
 37781.792,   12.0969
 37781.836,   12.1531
 37781.876,   12.2058
 37781.919,   12.2613
 37781.960,   12.3152
 37782.000,   12.3695
 37782.043,   12.4972
 37782.085,   12.6319
 37782.127,   12.7661
 37782.168,   12.8957
 37782.209,   13.0256
 37782.250,   13.1600
 37782.293,   13.2922
 37782.335,   13.4265
 37782.377,   13.5621
 37782.418,   13.6924
 37782.459,   13.8222
 37782.500,   13.9553
 37782.544,   14.0900
 37782.584,   14.2194
 37782.627,   14.3546
 37782.667,   14.4830
 37782.710,   14.6213
 37782.750,   14.7469
 37782.794,   14.8857
 37782.834,   15.0138
 37782.875,   15.1456
 37782.918,   15.2806
 37782.959,   15.4118
 37783.000,   15.5436
 37783.043,   15.4228
 37783.086,   15.2868
 37783.128,   15.1540
 37783.168,   15.0237
 37783.210,   14.8876
 37783.250,   14.7559
 37783.293,   14.6278
 37783.334,   14.4969
 37783.377,   14.3608
 37783.419,   14.2252
 37783.460,   14.0936
 37783.500,   13.9650
 37783.542,   13.8360
 37783.585,   13.6985
 37783.626,   13.5689
 37783.669,   13.4306
 37783.709,   13.3049
 37783.751,   13.1701
 37783.793,   13.0360
 37783.836,   12.9008
 37783.876,   12.7731
 37783.919,   12.6379
 37783.960,   12.5049
 37784.003,   12.3700
 37784.043,   12.3180
 37784.086,   12.2622
 37784.125,   12.2109
 37784.167,   12.1567
 37784.210,   12.1005
 37784.252,   12.0450
 37784.292,   11.9930
 37784.334,   11.9385
 37784.377,   11.8826
 37784.419,   11.8294
 37784.460,   11.7757
 37784.503,   11.7200
 37784.544,   11.6671
 37784.585,   11.6132
 37784.627,   11.5586
 37784.667,   11.5064
 37784.709,   11.4526
 37784.750,   11.3984
 37784.793,   11.3425
 37784.836,   11.2869
 37784.876,   11.2346
 37784.918,   11.1801
 37784.961,   11.1249
 37785.003,   11.0700
 37785.043,   11.0700
 37785.086,   11.0700
 37785.126,   11.0700
 37785.170,   11.0700
 37785.209,   11.0700
 37785.253,   11.0700
 37785.293,   11.0700
 37785.335,   11.0700
 37785.376,   11.0700
 37785.417,   11.0700
 37785.460,   11.0700
 37785.503,   11.0700
 37785.544,   11.0700
 37785.584,   11.0700
