JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 37770.042,   203.480,   175.206,    18.640,     0.000,     0.000,     0.000,     0.250,    82.706,  2216.730,     1.000,    12.815,  -170.690,     0.000,   305.089,   399.423,    68.862,     7.494,     0.000,
 37770.084,   189.551,   175.208,    18.566,     0.000,     0.000,     0.000,     0.250,    82.708,  2216.730,     1.000,    12.812,  -165.701,     0.000,   301.715,   399.032,    60.217,     8.167,     0.000,
 37770.126,   191.458,   175.208,    18.522,     0.000,     0.000,     0.000,     0.250,    82.708,  2216.730,     1.000,    12.800,  -164.165,     0.000,   301.715,   398.787,    59.076,     8.017,     0.000,
 37770.167,   194.160,   175.208,    18.481,     0.000,     0.000,     0.000,     0.250,    82.708,  2216.730,     1.000,    12.788,  -175.125,     0.000,   295.723,   398.566,    60.935,    11.346,     0.000,
 37770.209,   185.020,   175.207,    18.436,     0.000,     0.000,     0.000,     0.250,    82.707,  2216.730,     1.000,    12.772,  -185.274,     0.000,   291.679,   398.323,    64.566,    14.064,     0.000,
 37770.250,   189.536,   175.207,    18.397,     0.000,     0.000,    16.526,     0.250,    82.707,  2216.730,     1.000,    12.754,  -147.572,    15.590,   298.110,   398.097,    53.644,     9.531,     0.000,
 37770.292,   186.498,   175.206,    18.375,     0.000,     0.000,   150.124,     0.250,    82.706,  2216.730,     1.000,    12.745,   -14.230,   141.626,   308.728,   397.976,    62.481,     4.126,     0.000,
 37770.333,   190.337,   175.205,    18.380,     0.000,     0.000,   343.530,     0.250,    82.705,  2216.730,     1.000,    12.742,   162.017,   324.084,   305.845,   397.997,    64.157,     5.759,     0.000,
 37770.377,   191.566,   175.205,    18.445,     0.000,     0.000,   565.411,     0.250,    82.705,  2216.730,     1.000,    12.739,   400.717,   533.407,   336.856,   398.331,    86.268,   -15.054,     0.000,
 37770.417,   185.513,   175.205,    18.572,     0.000,     0.000,   750.898,     0.250,    82.705,  2216.730,     1.000,    12.733,   610.195,   708.394,   352.214,   399.005,    69.443,   -18.034,     0.000,
 37770.459,   183.469,   175.204,    18.755,     0.000,     0.000,   899.170,     0.250,    82.704,  2216.730,     1.000,    12.744,   761.719,   848.274,   364.964,   399.999,    76.615,   -25.095,     0.000,
 37770.500,   185.364,   175.204,    18.953,     0.000,     0.000,   986.415,     0.250,    82.704,  2216.730,     1.000,    12.764,   850.443,   930.581,   369.863,   401.111,    73.337,   -24.448,     0.000,
