$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37408.080,   11.31
 37408.123,   11.34
 37408.168,   11.36
 37408.210,   11.38
 37408.254,   11.39
 37408.296,   11.40
 37408.339,   11.40
 37408.382,   11.40
 37408.426,   11.40
 37408.468,   11.40
 37408.511,   11.40
 37408.554,   11.41
 37408.598,   11.41
 37408.639,   11.41
 37408.683,   11.42
 37408.725,   11.43
 37408.770,   11.43
 37408.812,   11.44
 37408.855,   11.45
 37408.898,   11.46
 37408.941,   11.47
 37408.983,   11.48
 37409.027,   11.49
 37409.070,   11.50
 37409.114,   11.51
 37409.155,   11.51
 37409.199,   11.50
 37409.241,   11.50
 37409.285,   11.50
 37409.327,   11.50
 37409.372,   11.50
 37409.414,   11.51
 37409.456,   11.51
 37409.500,   11.52
 37409.542,   11.52
 37409.587,   11.53
 37409.629,   11.58
 37409.672,   11.59
 37409.716,   11.59
 37409.757,   11.59
 37409.800,   11.60
 37409.844,   11.55
 37409.886,   11.60
 37409.930,   11.61
 37409.972,   11.61
 37410.016,   11.61
 37410.058,   11.56
 37410.103,   11.56
 37410.144,   11.56
 37410.189,   11.56
 37410.231,   11.57
 37410.275,   11.62
 37410.317,   11.57
 37410.361,   11.57
 37410.403,   11.57
 37410.447,   11.57
 37410.489,   11.56
 37410.532,   11.55
 37410.575,   11.55
 37410.618,   11.54
 37410.660,   11.54
 37410.704,   11.54
 37410.747,   11.54
 37410.791,   11.54
 37410.834,   11.55
 37410.876,   11.55
 37410.918,   11.55
 37410.963,   11.56
 37411.005,   11.56
 37411.049,   11.57
 37411.091,   11.57
 37411.135,   11.58
 37411.177,   11.59
 37411.219,   11.60
 37411.264,   11.63
 37411.306,   11.64
 37411.349,   11.64
 37411.392,   11.65
 37411.434,   11.65
 37411.479,   11.65
 37411.522,   11.66
 37411.565,   11.66
 37411.607,   11.66
 37411.650,   11.67
 37411.692,   11.67
 37411.737,   11.67
 37411.780,   11.67
 37411.822,   11.67
 37411.864,   11.67
 37411.909,   11.67
 37411.952,   11.67
 37411.995,   11.68
 37412.037,   11.68
 37412.080,   11.68
 37412.122,   11.68
 37412.167,   11.65
 37412.210,   11.66
 37412.253,   11.66
 37412.296,   11.69
 37412.337,   11.69
 37412.380,   11.69
 37412.423,   11.66
 37412.466,   11.66
 37412.509,   11.66
 37412.553,   11.66
 37412.596,   11.66
 37412.640,   11.66
 37412.683,   11.65
 37412.726,   11.65
 37412.770,   11.64
 37412.813,   11.64
 37412.853,   11.63
 37412.897,   11.62
 37412.940,   11.62
 37412.984,   11.61
 37413.028,   11.60
 37413.071,   11.60
 37413.111,   11.59
 37413.154,   11.59
 37413.198,   11.58
 37413.242,   11.58
 37413.285,   11.57
 37413.329,   11.56
 37413.372,   11.55
 37413.415,   11.54
 37413.455,   11.54
 37413.499,   11.53
 37413.542,   11.52
 37413.585,   11.51
 37413.627,   11.50
 37413.670,   11.50
 37413.714,   11.49
 37413.757,   11.48
 37413.799,   11.47
 37413.843,   11.46
 37413.885,   11.46
 37413.928,   11.45
 37413.971,   11.44
 37414.014,   11.44
 37414.058,   11.43
 37414.100,   11.43
 37414.144,   11.42
 37414.187,   11.41
 37414.229,   11.41
 37414.273,   11.40
 37414.316,   11.39
 37414.359,   11.39
 37414.402,   11.38
 37414.444,   11.37
 37414.488,   11.36
 37414.531,   11.36
 37414.574,   11.36
 37414.617,   11.36
 37414.659,   11.36
 37414.703,   11.36
 37414.746,   11.36
 37414.789,   11.36
 37414.833,   11.36
 37414.874,   11.35
 37414.917,   11.35
 37414.960,   11.34
 37415.003,   11.34
 37415.046,   11.34
 37415.089,   11.34
 37415.133,   11.34
 37415.176,   11.34
 37415.219,   11.34
 37415.262,   11.34
 37415.305,   11.35
 37415.348,   11.36
 37415.391,   11.37
 37415.434,   11.38
 37415.476,   11.39
 37415.519,   11.40
 37415.562,   11.40
 37415.605,   11.40
 37415.649,   11.40
 37415.691,   11.39
 37415.734,   11.39
 37415.777,   11.39
 37415.821,   11.40
 37415.863,   11.40
 37415.906,   11.41
 37415.949,   11.42
 37415.993,   11.42
 37416.035,   11.43
 37416.079,   11.44
 37416.122,   11.45
 37416.164,   11.46
 37416.208,   11.47
 37416.250,   11.48
 37416.294,   11.49
 37416.336,   11.49
