 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37769.042,   1,  0.33615866E+05,   0.00000000E+00,  -0.35846255E+05,   0.00000000E+00,   0.00000000E+00,  -0.35753644E+03,   0.00000000E+00,   0.00000000E+00,   0.47912425E-09,
 37770.042,   1,  0.13951465E+08,   0.00000000E+00,  -0.14439852E+08,   0.00000000E+00,   0.00000000E+00,  -0.13534068E+06,   0.00000000E+00,   0.00000000E+00,   0.33912842E-09,
 37771.042,   1,  0.28453644E+08,   0.00000000E+00,  -0.28803021E+08,   0.00000000E+00,   0.00000000E+00,  -0.28490175E+06,   0.00000000E+00,   0.00000000E+00,   0.76208677E-09,
 37772.043,   1,  0.44343184E+08,   0.00000000E+00,  -0.43129363E+08,   0.00000000E+00,   0.00000000E+00,  -0.50374799E+06,   0.00000000E+00,   0.00000000E+00,  -0.88085496E-09,
 37773.042,   1,  0.60352378E+08,   0.00000000E+00,  -0.57404696E+08,   0.00000000E+00,   0.00000000E+00,  -0.75425157E+06,   0.00000000E+00,   0.00000000E+00,  -0.39037381E-09,
 37774.042,   1,  0.75469180E+08,   0.00000000E+00,  -0.71682462E+08,   0.00000000E+00,   0.00000000E+00,  -0.10443311E+07,   0.00000000E+00,   0.00000000E+00,  -0.41130275E-09,
 37775.042,   1,  0.90083321E+08,   0.00000000E+00,  -0.86002994E+08,   0.00000000E+00,   0.00000000E+00,  -0.13044813E+07,   0.00000000E+00,   0.00000000E+00,  -0.49518772E-09,
 37776.042,   1,  0.10402338E+09,   0.00000000E+00,  -0.10044152E+09,   0.00000000E+00,   0.00000000E+00,  -0.14655860E+07,   0.00000000E+00,   0.00000000E+00,  -0.72317134E-09,
 37777.042,   1,  0.11794387E+09,   0.00000000E+00,  -0.11496793E+09,   0.00000000E+00,   0.00000000E+00,  -0.16126476E+07,   0.00000000E+00,   0.00000000E+00,  -0.12090383E-08,
 37778.042,   1,  0.13343217E+09,   0.00000000E+00,  -0.12948665E+09,   0.00000000E+00,   0.00000000E+00,  -0.17889418E+07,   0.00000000E+00,   0.00000000E+00,  -0.87893315E-09,
 37779.043,   1,  0.15169100E+09,   0.00000000E+00,  -0.14285332E+09,   0.00000000E+00,   0.00000000E+00,  -0.19644898E+07,   0.00000000E+00,   0.00000000E+00,  -0.27821165E-09,
