$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:137.     

JDAY,QWD(m3s-1)
 37769.042,   31.5192
 37769.085,   31.4988
 37769.126,   31.4781
 37769.167,   31.4576
 37769.209,   31.4366
 37769.250,   31.4155
 37769.292,   31.3950
 37769.333,   31.3744
 37769.376,   31.3530
 37769.418,   31.3320
 37769.458,   31.3119
 37769.500,   31.2908
 37769.543,   31.2697
 37769.584,   31.2494
 37769.626,   31.2283
 37769.668,   31.2072
 37769.709,   31.1867
 37769.752,   31.1650
 37769.793,   31.1445
 37769.835,   31.1237
 37769.877,   31.1025
 37769.917,   31.0825
 37769.959,   31.0616
 37770.000,   31.0409
 37770.042,   31.0148
 37770.084,   30.9882
 37770.126,   30.9622
 37770.169,   30.9351
 37770.209,   30.9098
 37770.250,   30.8832
 37770.292,   30.8573
 37770.335,   30.8302
 37770.376,   30.8042
 37770.418,   30.7778
 37770.459,   30.7519
 37770.500,   30.7255
 37770.543,   30.6990
 37770.584,   30.6734
 37770.626,   30.6468
 37770.667,   30.6210
 37770.708,   30.5950
 37770.750,   30.5683
 37770.792,   30.5425
 37770.834,   30.5158
 37770.876,   30.4894
 37770.918,   30.4628
 37770.960,   30.4364
 37771.000,   30.4102
 37771.042,   30.3944
 37771.084,   30.3780
 37771.126,   30.3617
 37771.168,   30.3453
 37771.209,   30.3293
 37771.250,   30.3130
 37771.292,   30.2969
 37771.335,   30.2803
 37771.376,   30.2640
 37771.418,   30.2477
 37771.460,   30.2315
 37771.500,   30.2151
 37771.543,   30.1989
 37771.585,   30.1825
 37771.627,   30.1663
 37771.667,   30.1506
 37771.709,   30.1344
 37771.750,   30.1181
 37771.793,   30.1016
 37771.834,   30.0854
 37771.876,   30.0691
 37771.918,   30.0528
 37771.959,   30.0366
 37772.000,   30.0207
 37772.043,   30.0470
 37772.084,   30.0732
 37772.125,   30.1002
 37772.168,   30.1281
 37772.209,   30.1544
 37772.250,   30.1817
 37772.292,   30.2085
 37772.335,   30.2365
 37772.375,   30.2625
 37772.418,   30.2901
 37772.460,   30.3176
 37772.500,   30.3448
 37772.542,   30.3709
 37772.585,   30.3987
 37772.627,   30.4259
 37772.667,   30.4521
 37772.709,   30.4794
 37772.751,   30.5069
 37772.793,   30.5342
 37772.834,   30.5605
 37772.876,   30.5878
 37772.918,   30.6151
 37772.960,   30.6428
 37773.000,   30.6687
 37773.042,   30.6700
 37773.084,   30.6700
 37773.125,   30.6700
 37773.168,   30.6700
 37773.209,   30.6700
 37773.250,   30.6700
 37773.292,   30.6700
 37773.336,   30.6700
 37773.377,   30.6700
 37773.418,   30.6700
 37773.459,   30.6700
 37773.500,   30.6700
 37773.543,   30.6700
 37773.584,   30.6700
 37773.626,   30.6700
 37773.667,   30.6700
 37773.709,   30.6700
 37773.752,   30.6700
 37773.792,   30.6700
 37773.835,   30.6700
 37773.875,   30.6700
 37773.917,   30.6700
 37773.960,   30.6700
 37774.000,   30.6700
 37774.042,   30.6880
 37774.084,   30.7069
 37774.126,   30.7259
 37774.168,   30.7445
 37774.210,   30.7635
 37774.250,   30.7819
 37774.292,   30.8005
 37774.334,   30.8192
 37774.376,   30.8381
 37774.418,   30.8572
 37774.460,   30.8762
 37774.500,   30.8943
 37774.543,   30.9133
 37774.584,   30.9317
 37774.626,   30.9507
 37774.668,   30.9698
 37774.709,   30.9880
 37774.751,   31.0070
 37774.792,   31.0253
 37774.835,   31.0448
 37774.877,   31.0635
 37774.917,   31.0816
 37774.959,   31.1005
 37775.000,   31.1200
 37775.042,   31.1892
 37775.085,   31.2625
 37775.126,   31.3340
 37775.167,   31.4047
 37775.209,   31.4784
 37775.250,   31.5513
 37775.292,   31.6217
 37775.335,   31.6949
 37775.377,   31.7682
 37775.418,   31.8388
 37775.460,   31.9112
 37775.500,   31.9844
 37775.544,   32.0570
 37775.585,   32.1286
 37775.625,   32.1979
 37775.667,   32.2721
 37775.710,   32.3447
 37775.751,   32.4154
 37775.793,   32.4877
 37775.833,   32.5577
 37775.875,   32.6306
 37775.918,   32.7038
 37775.958,   32.7740
 37776.000,   32.8470
 37776.042,   32.8668
 37776.085,   32.8846
 37776.127,   32.9022
 37776.168,   32.9195
 37776.210,   32.9374
 37776.250,   32.9541
 37776.293,   32.9723
 37776.335,   32.9897
 37776.377,   33.0075
 37776.417,   33.0243
 37776.460,   33.0421
 37776.500,   33.0598
 37776.542,   33.0766
 37776.585,   33.0946
 37776.627,   33.1123
 37776.667,   33.1291
 37776.709,   33.1469
 37776.751,   33.1643
 37776.793,   33.1819
 37776.834,   33.1995
 37776.876,   33.2171
 37776.919,   33.2348
 37776.959,   33.2517
 37777.000,   33.2698
 37777.042,   33.2532
 37777.085,   33.2354
 37777.127,   33.2177
 37777.167,   33.2006
 37777.209,   33.1830
 37777.250,   33.1652
 37777.292,   33.1482
 37777.335,   33.1301
 37777.375,   33.1133
 37777.418,   33.0953
 37777.460,   33.0776
 37777.500,   33.0601
 37777.543,   33.0428
 37777.585,   33.0251
 37777.627,   33.0076
 37777.667,   32.9908
 37777.709,   32.9733
 37777.751,   32.9556
 37777.792,   32.9382
 37777.834,   32.9206
 37777.877,   32.9026
 37777.918,   32.8853
 37777.959,   32.8680
 37778.000,   32.8502
 37778.042,   32.7220
 37778.084,   32.5876
 37778.126,   32.4521
 37778.168,   32.3181
 37778.210,   32.1836
 37778.250,   32.0558
 37778.292,   31.9220
 37778.335,   31.7841
 37778.375,   31.6547
 37778.417,   31.5207
 37778.459,   31.3883
 37778.500,   31.2538
 37778.542,   31.1219
 37778.585,   30.9853
 37778.626,   30.8529
 37778.667,   30.7196
 37778.709,   30.5845
 37778.751,   30.4533
 37778.793,   30.3170
 37778.834,   30.1877
 37778.875,   30.0543
 37778.918,   29.9179
 37778.960,   29.7849
 37779.000,   29.6520
 37779.043,   29.5355
 37779.083,   29.4253
 37779.126,   29.3101
 37779.168,   29.1927
 37779.210,   29.0785
 37779.250,   28.9662
 37779.292,   28.8525
 37779.335,   28.7342
 37779.376,   28.6226
 37779.417,   28.5086
 37779.460,   28.3916
 37779.500,   28.2755
 37779.543,   28.1628
 37779.585,   28.0482
 37779.626,   27.9351
 37779.668,   27.8182
 37779.710,   27.7034
 37779.750,   27.5925
 37779.794,   27.4737
 37779.833,   27.3643
 37779.877,   27.2453
 37779.917,   27.1342
 37779.959,   27.0179
 37780.000,   26.9030
 37780.042,   26.9260
 37780.085,   26.9535
 37780.127,   26.9807
 37780.167,   27.0073
 37780.210,   27.0351
 37780.250,   27.0612
 37780.293,   27.0885
 37780.335,   27.1157
 37780.376,   27.1429
 37780.418,   27.1708
 37780.459,   27.1965
 37780.500,   27.2240
 37780.544,   27.2519
 37780.584,   27.2780
 37780.626,   27.3055
 37780.668,   27.3327
 37780.709,   27.3594
 37780.752,   27.3871
 37780.793,   27.4135
 37780.835,   27.4409
 37780.877,   27.4684
 37780.917,   27.4943
 37780.960,   27.5221
 37781.000,   27.5484
 37781.043,   27.5876
 37781.085,   27.6276
 37781.125,   27.6649
 37781.167,   27.7043
 37781.210,   27.7457
 37781.250,   27.7836
 37781.293,   27.8226
 37781.336,   27.8631
 37781.377,   27.9015
 37781.417,   27.9396
 37781.459,   27.9790
 37781.500,   28.0178
 37781.544,   28.0586
 37781.584,   28.0962
 37781.627,   28.1369
 37781.668,   28.1757
 37781.710,   28.2153
 37781.750,   28.2529
 37781.792,   28.2925
 37781.836,   28.3332
 37781.876,   28.3713
 37781.919,   28.4114
 37781.960,   28.4504
 37782.000,   28.4897
 37782.043,   28.5240
 37782.085,   28.5600
 37782.127,   28.5959
 37782.168,   28.6305
 37782.209,   28.6652
 37782.250,   28.7012
 37782.293,   28.7365
 37782.335,   28.7724
 37782.377,   28.8086
 37782.418,   28.8435
 37782.459,   28.8782
 37782.500,   28.9138
 37782.544,   28.9497
 37782.584,   28.9843
 37782.627,   29.0205
 37782.667,   29.0548
 37782.710,   29.0918
 37782.750,   29.1253
 37782.794,   29.1624
 37782.834,   29.1967
 37782.875,   29.2319
 37782.918,   29.2680
 37782.959,   29.3031
 37783.000,   29.3383
 37783.043,   29.3864
 37783.086,   29.4360
 37783.128,   29.4845
 37783.168,   29.5320
 37783.210,   29.5816
 37783.250,   29.6297
 37783.293,   29.6764
 37783.334,   29.7241
 37783.377,   29.7738
 37783.419,   29.8233
 37783.460,   29.8713
 37783.500,   29.9182
 37783.542,   29.9652
 37783.585,   30.0154
 37783.626,   30.0627
 37783.669,   30.1131
 37783.709,   30.1590
 37783.751,   30.2081
 37783.793,   30.2571
 37783.836,   30.3064
 37783.876,   30.3530
 37783.919,   30.4023
 37783.960,   30.4508
 37784.003,   30.5000
 37784.043,   30.5224
 37784.086,   30.5464
 37784.125,   30.5685
 37784.167,   30.5919
 37784.210,   30.6161
 37784.252,   30.6400
 37784.292,   30.6624
 37784.334,   30.6859
 37784.377,   30.7100
 37784.419,   30.7329
 37784.460,   30.7560
 37784.503,   30.7800
 37784.544,   30.8028
 37784.585,   30.8260
 37784.627,   30.8495
 37784.667,   30.8720
 37784.709,   30.8952
 37784.750,   30.9185
 37784.793,   30.9426
 37784.836,   30.9666
 37784.876,   30.9891
 37784.918,   31.0126
 37784.961,   31.0364
 37785.003,   31.0600
 37785.043,   31.0376
 37785.086,   31.0135
 37785.126,   30.9910
 37785.170,   30.9667
 37785.209,   30.9438
 37785.253,   30.9200
 37785.293,   30.8976
 37785.335,   30.8744
 37785.376,   30.8513
 37785.417,   30.8279
 37785.460,   30.8036
 37785.503,   30.7800
 37785.544,   30.7574
 37785.584,   30.7349
 37785.626,   30.7109
 37785.667,   30.6882
 37785.710,   30.6638
 37785.751,   30.6412
 37785.794,   30.6172
 37785.834,   30.5949
 37785.877,   30.5704
 37785.920,   30.5469
 37785.961,   30.5238
 37786.003,   30.5000
 37786.043,   30.4468
 37786.083,   30.3936
 37786.128,   30.3344
 37786.167,   30.2824
 37786.209,   30.2268
 37786.253,   30.1675
 37786.294,   30.1143
 37786.337,   30.0570
 37786.376,   30.0041
 37786.418,   29.9491
 37786.460,   29.8913
 37786.504,   29.8350
 37786.543,   29.7824
 37786.586,   29.7261
 37786.628,   29.6702
 37786.670,   29.6135
 37786.710,   29.5594
 37786.753,   29.5029
 37786.793,   29.4480
 37786.834,   29.3953
 37786.876,   29.3372
 37786.917,   29.2831
 37786.960,   29.2262
 37787.004,   29.1700
 37787.044,   29.1280
 37787.084,   29.0860
 37787.127,   29.0408
 37787.169,   28.9969
 37787.209,   28.9548
 37787.253,   28.9075
 37787.294,   28.8655
 37787.336,   28.8211
 37787.378,   28.7768
 37787.418,   28.7347
 37787.460,   28.6894
 37787.503,   28.6450
 37787.542,   28.6040
 37787.584,   28.5612
 37787.628,   28.5143
 37787.668,   28.4728
 37787.709,   28.4286
 37787.751,   28.3855
 37787.793,   28.3413
 37787.834,   28.2973
 37787.877,   28.2522
 37787.917,   28.2095
 37787.961,   28.1638
 37788.002,   28.1200
 37788.043,   28.1280
 37788.084,   28.1360
 37788.129,   28.1450
 37788.169,   28.1532
 37788.210,   28.1616
 37788.251,   28.1700
 37788.294,   28.1780
 37788.335,   28.1862
 37788.377,   28.1947
 37788.418,   28.2028
 37788.460,   28.2114
 37788.504,   28.2200
 37788.545,   28.2283
 37788.586,   28.2366
 37788.625,   28.2446
 37788.669,   28.2533
 37788.710,   28.2615
 37788.751,   28.2696
 37788.792,   28.2778
 37788.835,   28.2864
 37788.876,   28.2944
 37788.918,   28.3029
 37788.959,   28.3114
 37789.003,   28.3200
 37789.044,   28.2872
 37789.084,   28.2544
 37789.128,   28.2183
 37789.167,   28.1859
 37789.210,   28.1504
 37789.253,   28.1150
 37789.293,   28.0822
 37789.334,   28.0485
 37789.376,   28.0144
 37789.419,   27.9792
 37789.459,   27.9456
 37789.504,   27.9100
 37789.542,   27.8786
 37789.584,   27.8430
 37789.628,   27.8075
 37789.668,   27.7746
 37789.709,   27.7403
 37789.751,   27.7056
 37789.792,   27.6717
 37789.834,   27.6375
 37789.877,   27.6026
 37789.920,   27.5685
 37789.958,   27.5364
 37790.003,   27.5000
 37790.042,   27.4160
 37790.084,   27.3260
 37790.126,   27.2426
 37790.170,   27.1504
 37790.210,   27.0629
 37790.253,   26.9750
 37790.293,   26.8910
 37790.335,   26.8030
 37790.376,   26.7175
 37790.419,   26.6270
 37790.459,   26.5427
 37790.503,   26.4500
 37790.543,   26.3671
 37790.585,   26.2793
 37790.627,   26.1911
 37790.667,   26.1055
 37790.710,   26.0153
 37790.751,   25.9309
 37790.794,   25.8396
 37790.834,   25.7555
 37790.876,   25.6658
 37790.919,   25.5768
 37790.962,   25.4878
 37791.004,   25.4000
 37791.043,   25.3820
 37791.086,   25.3626
 37791.127,   25.3443
 37791.167,   25.3262
 37791.210,   25.3068
 37791.253,   25.2875
 37791.293,   25.2695
 37791.337,   25.2500
 37791.377,   25.2317
 37791.418,   25.2131
 37791.460,   25.1945
 37791.502,   25.1750
 37791.543,   25.1572
 37791.586,   25.1377
 37791.626,   25.1198
 37791.667,   25.1011
 37791.709,   25.0821
 37791.752,   25.0629
 37791.793,   25.0446
 37791.834,   25.0258
 37791.878,   25.0064
 37791.917,   24.9887
 37791.959,   24.9699
 37792.003,   24.9500
 37792.042,   24.9648
 37792.086,   24.9807
 37792.126,   24.9954
 37792.169,   25.0113
 37792.209,   25.0264
 37792.253,   25.0425
 37792.292,   25.0573
 37792.334,   25.0727
 37792.377,   25.0885
 37792.418,   25.1037
 37792.459,   25.1187
 37792.503,   25.1350
 37792.542,   25.1498
 37792.586,   25.1656
 37792.625,   25.1803
 37792.669,   25.1966
 37792.710,   25.2119
 37792.752,   25.2271
 37792.793,   25.2425
 37792.836,   25.2583
 37792.876,   25.2732
 37792.919,   25.2889
 37792.959,   25.3037
 37793.003,   25.3200
 37793.043,   25.3176
 37793.085,   25.3150
 37793.126,   25.3126
 37793.167,   25.3101
 37793.209,   25.3076
 37793.253,   25.3050
 37793.293,   25.3026
 37793.334,   25.3001
 37793.376,   25.2976
 37793.418,   25.2951
 37793.460,   25.2925
 37793.502,   25.2900
 37793.542,   25.2876
 37793.584,   25.2851
 37793.627,   25.2825
 37793.668,   25.2800
 37793.708,   25.2776
 37793.750,   25.2751
 37793.793,   25.2726
 37793.835,   25.2700
 37793.877,   25.2675
 37793.917,   25.2651
 37793.959,   25.2626
 37794.002,   25.2600
 37794.042,   25.2600
 37794.085,   25.2600
 37794.125,   25.2600
 37794.167,   25.2600
 37794.210,   25.2600
 37794.252,   25.2600
 37794.292,   25.2600
 37794.334,   25.2600
 37794.375,   25.2600
 37794.417,   25.2600
 37794.460,   25.2600
 37794.502,   25.2600
 37794.544,   25.2600
 37794.585,   25.2600
 37794.627,   25.2600
 37794.667,   25.2600
 37794.709,   25.2600
 37794.751,   25.2600
 37794.792,   25.2600
 37794.834,   25.2600
 37794.876,   25.2600
 37794.918,   25.2600
 37794.960,   25.2600
 37795.002,   25.2600
 37795.042,   25.2452
 37795.084,   25.2297
 37795.126,   25.2142
 37795.168,   25.1988
 37795.210,   25.1831
 37795.252,   25.1675
 37795.292,   25.1527
 37795.334,   25.1373
 37795.377,   25.1213
 37795.417,   25.1063
 37795.460,   25.0906
 37795.502,   25.0750
 37795.544,   25.0596
 37795.585,   25.0443
 37795.627,   25.0288
 37795.667,   25.0139
 37795.709,   24.9984
 37795.751,   24.9829
 37795.793,   24.9674
 37795.835,   24.9518
 37795.877,   24.9363
 37795.917,   24.9215
 37795.959,   24.9060
 37796.002,   24.8900
 37796.042,   24.8732
 37796.084,   24.8555
 37796.125,   24.8383
 37796.167,   24.8206
 37796.209,   24.8030
 37796.252,   24.7850
 37796.292,   24.7682
 37796.334,   24.7508
 37796.375,   24.7332
 37796.418,   24.7155
 37796.460,   24.6977
 37796.502,   24.6800
 37796.542,   24.6631
 37796.584,   24.6456
 37796.626,   24.6280
 37796.668,   24.6103
