$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:142.     

JDAY,T(C)
 37769.042,   11.48
 37769.085,   11.47
 37769.126,   11.46
 37769.167,   11.45
 37769.209,   11.44
 37769.250,   11.44
 37769.292,   11.44
 37769.333,   11.44
 37769.376,   11.45
 37769.418,   11.45
 37769.458,   11.45
 37769.500,   11.44
 37769.543,   11.44
 37769.584,   11.45
 37769.626,   11.46
 37769.668,   11.54
 37769.709,   11.48
 37769.752,   11.51
 37769.793,   11.55
 37769.835,   11.55
 37769.877,   11.45
 37769.917,   11.52
 37769.959,   11.50
 37770.000,   11.55
 37770.042,   11.54
 37770.084,   11.50
 37770.126,   11.58
 37770.169,   11.65
 37770.209,   11.68
 37770.250,   11.66
 37770.292,   11.53
 37770.335,   11.55
 37770.376,   11.58
 37770.418,   11.57
 37770.459,   11.46
 37770.500,   11.49
 37770.543,   11.44
 37770.584,   11.41
 37770.626,   11.39
 37770.667,   11.38
 37770.708,   11.52
 37770.750,   11.57
 37770.792,   11.56
 37770.834,   11.61
 37770.876,   11.66
 37770.918,   11.71
 37770.960,   11.85
 37771.000,   11.94
 37771.042,   11.92
 37771.084,   12.05
 37771.126,   12.02
 37771.168,   11.99
 37771.209,   11.75
 37771.250,   11.64
 37771.292,   11.63
 37771.335,   11.51
 37771.376,   11.45
 37771.418,   11.43
 37771.460,   11.45
 37771.500,   11.48
 37771.543,   11.47
 37771.585,   11.64
 37771.627,   11.76
 37771.667,   11.88
 37771.709,   11.97
 37771.750,   11.99
 37771.793,   11.94
 37771.834,   11.82
 37771.876,   11.75
 37771.918,   11.77
 37771.959,   11.89
 37772.000,   11.92
 37772.043,   11.99
 37772.084,   11.90
 37772.125,   11.85
 37772.168,   11.73
 37772.209,   11.65
 37772.250,   11.52
 37772.292,   11.56
 37772.335,   11.48
 37772.375,   11.45
 37772.418,   11.50
 37772.460,   11.63
 37772.500,   11.79
 37772.542,   11.93
 37772.585,   12.01
 37772.627,   12.03
 37772.667,   12.03
 37772.709,   11.97
 37772.751,   11.83
 37772.793,   11.74
 37772.834,   11.77
 37772.876,   11.83
 37772.918,   11.84
 37772.960,   11.72
 37773.000,   11.80
 37773.042,   11.85
 37773.084,   11.80
 37773.125,   11.77
 37773.168,   11.77
 37773.209,   11.73
 37773.250,   11.66
 37773.292,   11.77
 37773.336,   11.80
 37773.377,   11.88
 37773.418,   11.95
 37773.459,   12.01
 37773.500,   12.09
 37773.543,   12.14
 37773.584,   11.99
 37773.626,   11.96
 37773.667,   11.93
 37773.709,   11.88
 37773.752,   11.83
 37773.792,   11.85
 37773.835,   11.90
 37773.875,   11.90
 37773.917,   11.97
 37773.960,   11.87
 37774.000,   11.90
 37774.042,   11.94
 37774.084,   11.93
 37774.126,   11.91
 37774.168,   11.88
 37774.210,   11.92
 37774.250,   11.99
 37774.292,   11.96
 37774.334,   11.86
 37774.376,   11.85
 37774.418,   11.97
 37774.460,   12.06
 37774.500,   12.02
 37774.543,   11.95
 37774.584,   11.88
 37774.626,   11.79
 37774.668,   11.70
 37774.709,   11.73
 37774.751,   11.85
 37774.792,   11.89
 37774.835,   12.04
 37774.877,   12.12
 37774.917,   12.22
 37774.959,   12.14
 37775.000,   12.19
 37775.042,   12.26
 37775.085,   12.27
 37775.126,   12.18
 37775.167,   12.10
 37775.209,   12.14
 37775.250,   12.20
 37775.292,   12.15
 37775.335,   12.10
 37775.377,   11.95
 37775.418,   11.95
 37775.460,   11.93
 37775.500,   11.90
 37775.544,   12.08
 37775.585,   12.06
 37775.625,   11.93
 37775.667,   11.90
 37775.710,   11.90
 37775.751,   11.80
 37775.793,   11.94
 37775.833,   11.94
 37775.875,   11.89
 37775.918,   12.04
 37775.958,   12.29
 37776.000,   12.38
 37776.042,   12.52
 37776.085,   12.53
 37776.127,   12.43
 37776.168,   12.31
 37776.210,   12.05
 37776.250,   12.05
 37776.293,   12.00
