DATE TIME,SJA_DAWT(C),K2P_DAWT(C),FWQ_DAWT(C)
2024-05-28,9.02,9.02,9.8
2024-05-29,9.02,9.02,9.82
2024-05-30,9.02,9.02,9.84
2024-05-31,9.02,9.02,9.87
2024-06-01,9.03,9.02,8.72
2024-06-02,9.03,9.04,8.7
2024-06-03,9.05,9.05,8.69
2024-06-04,9.04,9.03,8.72
2024-06-05,9.03,9.03,8.83
2024-06-06,9.06,9.05,8.84
2024-06-07,9.04,9.04,8.77
2024-06-08,9.05,9.05,8.79
2024-06-09,9.05,9.05,9.27
2024-06-10,9.07,9.07,8.99
2024-06-11,9.07,9.06,9.02
2024-06-12,9.05,9.06,9.46
2024-06-13,9.08,9.07,9.97
2024-06-14,9.09,9.08,8.89
2024-06-15,9.09,9.09,8.75
2024-06-16,9.1,9.09,8.75
2024-06-17,9.09,9.09,8.73
2024-06-18,9.1,9.1,8.71
2024-06-19,9.11,9.12,8.73
2024-06-20,9.1,9.09,8.75
2024-06-21,9.12,9.1,7.64
2024-06-22,9.11,9.12,9.98
2024-06-23,9.14,9.14,10.01
2024-06-24,9.12,9.11,9.93
2024-06-25,9.14,9.12,9.97
2024-06-26,9.14,9.13,9.93
2024-06-27,9.15,9.16,8.73
2024-06-28,9.14,9.16,9.9
2024-06-29,9.16,9.14,9.94
2024-06-30,9.17,9.15,9.96
2024-07-01,9.18,9.17,10.0
2024-07-02,9.16,9.17,10.03
2024-07-03,9.17,9.16,10.04
2024-07-04,9.19,9.19,10.12
2024-07-05,9.2,9.19,10.2
2024-07-06,9.21,9.2,10.23
2024-07-07,9.2,9.2,10.25
2024-07-08,9.22,9.21,10.24
2024-07-09,9.23,9.22,10.39
2024-07-10,9.23,9.23,10.4
2024-07-11,9.23,9.22,10.26
2024-07-12,9.26,9.24,10.05
2024-07-13,9.24,9.26,10.07
2024-07-14,9.24,9.24,10.09
2024-07-15,9.28,9.25,10.07
2024-07-16,9.27,9.26,10.07
2024-07-17,9.26,9.28,10.05
2024-07-18,9.29,9.28,10.06
2024-07-19,9.31,9.28,10.1
2024-07-20,9.29,9.31,10.13
2024-07-21,9.32,9.3,10.14
2024-07-22,9.31,9.3,10.18
2024-07-23,9.33,9.32,11.31
2024-07-24,9.34,9.35,10.19
2024-07-25,9.36,9.33,10.21
2024-07-26,9.37,9.35,10.24
2024-07-27,9.39,9.36,10.19
2024-07-28,9.38,9.38,10.25
2024-07-29,9.42,9.38,10.22
2024-07-30,9.42,9.41,10.28
2024-07-31,9.44,9.42,10.27
2024-08-01,9.47,9.42,10.34
2024-08-02,9.47,9.45,10.28
2024-08-03,9.49,9.46,10.4
2024-08-04,9.55,9.51,10.42
2024-08-05,9.53,9.5,10.45
2024-08-06,9.57,9.55,10.48
2024-08-07,9.63,9.55,10.48
2024-08-08,9.61,9.59,10.51
2024-08-09,9.66,9.62,10.49
2024-08-10,9.7,9.63,10.55
2024-08-11,9.71,9.66,10.56
2024-08-12,9.76,9.72,10.6
2024-08-13,9.8,9.72,10.63
2024-08-14,9.83,9.76,10.63
2024-08-15,9.9,9.8,10.79
2024-08-16,9.91,9.9,10.78
2024-08-17,10.0,9.89,10.81
2024-08-18,10.02,10.0,10.86
2024-08-19,10.06,9.96,10.88
2024-08-20,10.1,10.05,10.92
2024-08-21,10.22,10.11,10.9
2024-08-22,10.19,10.17,10.98
2024-08-23,10.31,10.22,10.97
2024-08-24,10.37,10.27,11.03
2024-08-25,10.39,10.34,11.03
2024-08-26,10.54,10.41,11.1
2024-08-27,10.56,10.53,11.15
2024-08-28,10.69,10.62,11.2
2024-08-29,10.72,10.63,11.23
2024-08-30,10.85,10.75,11.29
2024-08-31,10.89,10.81,11.35
2024-09-01,11.01,10.93,11.4
2024-09-02,11.04,11.0,11.45
2024-09-03,11.2,11.08,11.48
2024-09-04,11.25,11.15,11.56
2024-09-05,11.39,11.28,11.6
2024-09-06,11.47,11.38,11.62
2024-09-07,11.6,11.49,11.7
2024-09-08,11.64,11.54,11.75
2024-09-09,11.83,11.76,11.77
2024-09-10,12.08,12.01,11.91
2024-09-11,12.27,12.18,12.01
2024-09-12,12.39,12.34,12.02
2024-09-13,12.52,12.43,12.09
2024-09-14,12.59,12.5,12.14
2024-09-15,12.71,12.64,12.17
2024-09-16,12.82,12.73,12.19
2024-09-17,12.98,12.94,12.28
2024-09-18,13.14,13.02,12.3
2024-09-19,13.21,13.19,12.39
2024-09-20,13.41,13.34,12.45
2024-09-21,13.49,13.4,12.53
2024-09-22,13.51,13.54,11.32
2024-09-23,13.75,13.63,12.68
2024-09-24,13.87,13.82,12.71
2024-09-25,13.93,13.92,12.78
2024-09-26,14.16,14.02,12.81
2024-09-27,14.14,14.22,12.88
2024-09-28,14.4,14.24,12.93
2024-09-29,14.47,14.43,13.0
2024-09-30,14.61,14.55,13.02
2024-10-01,14.63,14.65,13.13
2024-10-02,14.91,14.79,13.22
2024-10-03,15.0,14.97,13.27
2024-10-04,15.07,15.07,13.33
2024-10-05,15.31,15.23,13.38
2024-10-06,15.34,15.38,13.48
2024-10-07,15.53,15.49,13.52
2024-10-08,15.69,15.69,13.6
2024-10-09,15.74,15.74,13.64
2024-10-10,15.94,15.93,13.62
2024-10-11,15.97,15.98,13.71
2024-10-12,16.14,16.04,13.76
2024-10-13,16.32,16.29,13.83
2024-10-14,16.27,16.32,13.91
2024-10-15,16.48,16.5,14.01
2024-10-16,16.71,16.63,14.05
2024-10-17,16.42,16.53,14.08
