DATE TIME,DAWT(C)
2024-05-28,9.8
2024-05-29,9.82
2024-05-30,9.84
2024-05-31,9.87
2024-06-01,8.72
2024-06-02,8.7
2024-06-03,8.69
2024-06-04,8.72
2024-06-05,8.83
2024-06-06,8.84
2024-06-07,8.77
2024-06-08,8.79
2024-06-09,9.27
2024-06-10,8.99
2024-06-11,9.02
2024-06-12,9.46
2024-06-13,9.97
2024-06-14,8.89
2024-06-15,8.75
2024-06-16,8.75
2024-06-17,8.73
2024-06-18,8.71
2024-06-19,8.73
2024-06-20,8.75
2024-06-21,7.64
2024-06-22,9.98
2024-06-23,10.01
2024-06-24,9.93
2024-06-25,9.97
2024-06-26,9.93
2024-06-27,8.73
2024-06-28,9.9
2024-06-29,9.94
2024-06-30,9.96
2024-07-01,10.0
2024-07-02,10.03
2024-07-03,10.04
2024-07-04,10.12
2024-07-05,10.2
2024-07-06,10.23
2024-07-07,10.25
2024-07-08,10.24
2024-07-09,10.39
2024-07-10,10.4
2024-07-11,10.26
2024-07-12,10.05
2024-07-13,10.07
2024-07-14,10.09
2024-07-15,10.07
2024-07-16,10.07
2024-07-17,10.05
2024-07-18,10.06
2024-07-19,10.1
2024-07-20,10.13
2024-07-21,10.14
2024-07-22,10.18
2024-07-23,11.31
2024-07-24,10.19
2024-07-25,10.21
2024-07-26,10.24
2024-07-27,10.19
2024-07-28,10.25
2024-07-29,10.22
2024-07-30,10.28
2024-07-31,10.27
2024-08-01,10.34
2024-08-02,10.28
2024-08-03,10.4
2024-08-04,10.42
2024-08-05,10.45
2024-08-06,10.48
2024-08-07,10.48
2024-08-08,10.51
2024-08-09,10.49
2024-08-10,10.55
2024-08-11,10.56
2024-08-12,10.6
2024-08-13,10.63
2024-08-14,10.63
2024-08-15,10.79
2024-08-16,10.78
2024-08-17,10.81
2024-08-18,10.86
2024-08-19,10.88
2024-08-20,10.92
2024-08-21,10.9
2024-08-22,10.98
2024-08-23,10.97
2024-08-24,11.03
2024-08-25,11.03
2024-08-26,11.1
2024-08-27,11.15
2024-08-28,11.2
2024-08-29,11.23
2024-08-30,11.29
2024-08-31,11.35
2024-09-01,11.4
2024-09-02,11.45
2024-09-03,11.48
2024-09-04,11.56
2024-09-05,11.6
2024-09-06,11.62
2024-09-07,11.7
2024-09-08,11.75
2024-09-09,11.77
2024-09-10,11.91
2024-09-11,12.01
2024-09-12,12.02
2024-09-13,12.09
2024-09-14,12.14
2024-09-15,12.17
2024-09-16,12.19
2024-09-17,12.28
2024-09-18,12.3
2024-09-19,12.39
2024-09-20,12.45
2024-09-21,12.53
2024-09-22,11.32
2024-09-23,12.68
2024-09-24,12.71
2024-09-25,12.78
2024-09-26,12.81
2024-09-27,12.88
2024-09-28,12.93
2024-09-29,13.0
2024-09-30,13.02
2024-10-01,13.13
2024-10-02,13.22
2024-10-03,13.27
2024-10-04,13.33
2024-10-05,13.38
2024-10-06,13.48
2024-10-07,13.52
2024-10-08,13.6
2024-10-09,13.64
2024-10-10,13.62
2024-10-11,13.71
2024-10-12,13.76
2024-10-13,13.83
2024-10-14,13.91
2024-10-15,14.01
2024-10-16,14.05
2024-10-17,14.08
2024-10-18,14.12
2024-10-19,14.18
2024-10-20,14.28
2024-10-21,14.35
2024-10-22,14.42
2024-10-23,14.52
2024-10-24,14.59
2024-10-25,14.66
2024-10-26,14.76
2024-10-27,14.89
2024-10-28,15.0
2024-10-29,15.03
2024-10-30,15.07
2024-10-31,15.2
2024-11-01,15.23
2024-11-02,15.32
2024-11-03,15.35
2024-11-04,15.38
2024-11-05,15.4
2024-11-06,15.45
2024-11-07,15.43
2024-11-08,15.48
2024-11-09,15.53
2024-11-10,15.58
2024-11-11,15.55
2024-11-12,15.64
2024-11-13,15.69
2024-11-14,15.67
2024-11-15,15.59
2024-11-16,15.73
2024-11-17,15.65
2024-11-18,15.54
2024-11-19,15.59
2024-11-20,15.61
2024-11-21,15.57
2024-11-22,15.36
2024-11-23,15.26
2024-11-24,15.01
2024-11-25,14.66
2024-11-26,14.34
2024-11-27,14.21
2024-11-28,14.07
2024-11-29,13.87
2024-11-30,13.75
2024-12-01,13.69
2024-12-02,13.58
2024-12-03,13.45
2024-12-04,13.38
2024-12-05,13.31
2024-12-06,13.26
2024-12-07,13.22
2024-12-08,13.12
2024-12-09,13.04
2024-12-10,12.99
2024-12-11,12.9
2024-12-12,12.82
2024-12-13,12.8
2024-12-14,12.73
2024-12-15,12.68
