DATE TIME,DAWT(C)
2024-05-28,9.03
2024-05-29,9.05
2024-05-30,9.05
2024-05-31,9.06
2024-06-01,9.06
2024-06-02,9.07
2024-06-03,9.06
2024-06-04,9.1
2024-06-05,9.07
2024-06-06,9.16
2024-06-07,9.12
2024-06-08,9.12
2024-06-09,9.1
2024-06-10,9.14
2024-06-11,9.13
2024-06-12,9.14
2024-06-13,9.14
2024-06-14,9.17
2024-06-15,9.19
2024-06-16,9.2
2024-06-17,9.26
2024-06-18,9.37
2024-06-19,9.34
2024-06-20,9.38
2024-06-21,9.34
2024-06-22,9.35
2024-06-23,9.36
2024-06-24,9.39
2024-06-25,9.41
2024-06-26,9.43
2024-06-27,9.45
2024-06-28,9.45
2024-06-29,9.5
2024-06-30,9.46
2024-07-01,9.44
2024-07-02,9.55
2024-07-03,9.47
2024-07-04,9.49
2024-07-05,9.61
2024-07-06,9.57
2024-07-07,9.57
2024-07-08,9.63
2024-07-09,9.69
2024-07-10,9.65
2024-07-11,9.67
2024-07-12,9.67
2024-07-13,9.7
2024-07-14,9.72
2024-07-15,9.72
2024-07-16,9.83
2024-07-17,9.8
2024-07-18,9.81
2024-07-19,9.84
2024-07-20,9.83
2024-07-21,9.82
2024-07-22,9.91
2024-07-23,9.91
2024-07-24,9.93
2024-07-25,9.96
2024-07-26,9.98
2024-07-27,10.06
2024-07-28,10.05
2024-07-29,10.02
2024-07-30,10.08
2024-07-31,10.16
2024-08-01,10.09
2024-08-02,10.15
2024-08-03,10.18
2024-08-04,10.24
2024-08-05,10.21
2024-08-06,10.26
2024-08-07,10.29
2024-08-08,10.32
2024-08-09,10.36
2024-08-10,10.41
2024-08-11,10.38
2024-08-12,10.4
2024-08-13,10.48
2024-08-14,10.51
2024-08-15,10.51
2024-08-16,10.7
2024-08-17,10.71
2024-08-18,10.62
2024-08-19,10.72
2024-08-20,10.68
2024-08-21,10.84
2024-08-22,10.84
2024-08-23,10.82
2024-08-24,10.88
2024-08-25,11.06
2024-08-26,11.03
2024-08-27,11.03
2024-08-28,11.15
2024-08-29,11.06
2024-08-30,11.27
2024-08-31,11.18
2024-09-01,11.32
2024-09-02,11.27
2024-09-03,11.43
2024-09-04,11.27
2024-09-05,11.47
2024-09-06,11.47
2024-09-07,11.49
2024-09-08,11.48
2024-09-09,11.64
2024-09-10,11.62
2024-09-11,11.77
2024-09-12,11.91
2024-09-13,11.93
2024-09-14,11.92
2024-09-15,12.01
2024-09-16,12.2
2024-09-17,11.99
2024-09-18,12.26
2024-09-19,12.2
2024-09-20,12.27
2024-09-21,12.36
2024-09-22,12.45
2024-09-23,12.42
2024-09-24,12.5
2024-09-25,12.63
2024-09-26,12.61
2024-09-27,12.66
2024-09-28,12.78
2024-09-29,12.7
2024-09-30,12.88
2024-10-01,12.92
2024-10-02,12.9
2024-10-03,13.04
2024-10-04,13.14
2024-10-05,13.05
2024-10-06,13.34
2024-10-07,13.26
2024-10-08,13.34
2024-10-09,13.4
2024-10-10,13.61
2024-10-11,13.53
2024-10-12,13.61
2024-10-13,13.73
2024-10-14,13.88
2024-10-15,13.95
2024-10-16,13.84
2024-10-17,14.06
2024-10-18,14.48
2024-10-19,14.99
2024-10-20,15.28
2024-10-21,15.54
2024-10-22,15.7
2024-10-23,15.87
2024-10-24,16.05
2024-10-25,15.85
2024-10-26,16.01
2024-10-27,16.01
2024-10-28,15.93
2024-10-29,16.11
2024-10-30,16.05
2024-10-31,16.01
2024-11-01,16.03
2024-11-02,15.95
2024-11-03,15.83
2024-11-04,15.68
2024-11-05,15.58
2024-11-06,15.47
2024-11-07,15.36
2024-11-08,15.22
2024-11-09,15.06
2024-11-10,14.89
2024-11-11,14.72
2024-11-12,14.51
2024-11-13,14.39
2024-11-14,14.27
2024-11-15,14.15
2024-11-16,13.99
2024-11-17,13.87
2024-11-18,13.77
2024-11-19,13.62
2024-11-20,13.5
2024-11-21,13.37
2024-11-22,13.27
2024-11-23,13.21
2024-11-24,13.15
2024-11-25,13.04
2024-11-26,12.99
2024-11-27,12.95
2024-11-28,12.86
2024-11-29,12.76
2024-11-30,12.63
2024-12-01,12.51
2024-12-02,12.38
2024-12-03,12.32
2024-12-04,12.28
2024-12-05,12.23
2024-12-06,12.23
2024-12-07,12.2
2024-12-08,12.17
2024-12-09,12.12
2024-12-10,12.06
2024-12-11,11.97
2024-12-12,11.88
2024-12-13,11.83
