,JDAY,T(C),DATE TIME
0,37769.082,9.03,2024-05-28 01:00:00
1,37769.125,9.03,2024-05-28 02:00:00
2,37769.165,9.03,2024-05-28 03:00:00
3,37769.207,9.03,2024-05-28 04:00:00
4,37769.249,9.03,2024-05-28 05:00:00
5,37769.29,9.03,2024-05-28 06:00:00
6,37769.332,9.03,2024-05-28 07:00:00
7,37769.375,9.03,2024-05-28 08:00:00
8,37769.416,9.03,2024-05-28 09:00:00
9,37769.458,9.03,2024-05-28 10:00:00
10,37769.5,9.03,2024-05-28 11:00:00
11,37769.542,9.03,2024-05-28 12:00:00
12,37769.582,9.03,2024-05-28 13:00:00
13,37769.624,9.03,2024-05-28 14:00:00
14,37769.666,9.03,2024-05-28 15:00:00
15,37769.708,9.03,2024-05-28 16:00:00
16,37769.749,9.03,2024-05-28 17:00:00
17,37769.792,9.04,2024-05-28 18:00:00
18,37769.833,9.03,2024-05-28 19:00:00
19,37769.875,9.03,2024-05-28 20:00:00
20,37769.915,9.04,2024-05-28 21:00:00
21,37769.957,9.04,2024-05-28 22:00:00
22,37769.999,9.04,2024-05-28 23:00:00
23,37770.04,9.04,2024-05-29 00:00:00
24,37770.082,9.04,2024-05-29 01:00:00
25,37770.124,9.05,2024-05-29 02:00:00
26,37770.167,9.05,2024-05-29 03:00:00
27,37770.208,9.05,2024-05-29 04:00:00
28,37770.25,9.04,2024-05-29 05:00:00
29,37770.29,9.04,2024-05-29 06:00:00
30,37770.332,9.04,2024-05-29 07:00:00
31,37770.375,9.04,2024-05-29 08:00:00
32,37770.416,9.03,2024-05-29 09:00:00
33,37770.457,9.02,2024-05-29 10:00:00
34,37770.499,9.02,2024-05-29 11:00:00
35,37770.541,9.02,2024-05-29 12:00:00
36,37770.583,9.02,2024-05-29 13:00:00
37,37770.624,9.02,2024-05-29 14:00:00
38,37770.666,9.03,2024-05-29 15:00:00
39,37770.708,9.04,2024-05-29 16:00:00
40,37770.75,9.05,2024-05-29 17:00:00
41,37770.791,9.06,2024-05-29 18:00:00
42,37770.832,9.06,2024-05-29 19:00:00
43,37770.874,9.07,2024-05-29 20:00:00
44,37770.916,9.09,2024-05-29 21:00:00
45,37770.958,9.1,2024-05-29 22:00:00
46,37770.999,9.1,2024-05-29 23:00:00
47,37771.042,9.09,2024-05-30 00:00:00
48,37771.082,9.09,2024-05-30 01:00:00
49,37771.124,9.09,2024-05-30 02:00:00
50,37771.165,9.07,2024-05-30 03:00:00
51,37771.208,9.06,2024-05-30 04:00:00
52,37771.25,9.04,2024-05-30 05:00:00
53,37771.292,9.03,2024-05-30 06:00:00
54,37771.332,9.02,2024-05-30 07:00:00
55,37771.374,9.02,2024-05-30 08:00:00
56,37771.416,9.02,2024-05-30 09:00:00
57,37771.457,9.02,2024-05-30 10:00:00
58,37771.499,9.02,2024-05-30 11:00:00
59,37771.54,9.02,2024-05-30 12:00:00
