DATE TIME,DAWT(C)
2024-05-28,9.02
2024-05-29,9.02
2024-05-30,9.02
2024-05-31,9.02
2024-06-01,9.03
2024-06-02,9.03
2024-06-03,9.05
2024-06-04,9.04
2024-06-05,9.03
2024-06-06,9.06
2024-06-07,9.04
2024-06-08,9.05
2024-06-09,9.05
2024-06-10,9.07
2024-06-11,9.07
2024-06-12,9.05
2024-06-13,9.08
2024-06-14,9.09
2024-06-15,9.09
2024-06-16,9.1
2024-06-17,9.09
2024-06-18,9.1
2024-06-19,9.11
2024-06-20,9.1
2024-06-21,9.12
2024-06-22,9.11
2024-06-23,9.14
2024-06-24,9.12
2024-06-25,9.14
2024-06-26,9.14
2024-06-27,9.15
2024-06-28,9.14
2024-06-29,9.16
2024-06-30,9.17
2024-07-01,9.18
2024-07-02,9.16
2024-07-03,9.17
2024-07-04,9.19
2024-07-05,9.2
2024-07-06,9.21
2024-07-07,9.2
2024-07-08,9.22
2024-07-09,9.23
2024-07-10,9.23
2024-07-11,9.23
2024-07-12,9.26
2024-07-13,9.24
2024-07-14,9.24
2024-07-15,9.28
2024-07-16,9.27
2024-07-17,9.26
2024-07-18,9.29
2024-07-19,9.31
2024-07-20,9.29
2024-07-21,9.32
2024-07-22,9.31
2024-07-23,9.33
2024-07-24,9.34
2024-07-25,9.36
2024-07-26,9.37
2024-07-27,9.39
2024-07-28,9.38
2024-07-29,9.42
2024-07-30,9.42
2024-07-31,9.44
2024-08-01,9.47
2024-08-02,9.47
2024-08-03,9.49
2024-08-04,9.55
2024-08-05,9.53
2024-08-06,9.57
2024-08-07,9.63
2024-08-08,9.61
2024-08-09,9.66
2024-08-10,9.7
2024-08-11,9.71
2024-08-12,9.76
2024-08-13,9.8
2024-08-14,9.83
2024-08-15,9.9
2024-08-16,9.91
2024-08-17,10.0
2024-08-18,10.02
2024-08-19,10.06
2024-08-20,10.1
2024-08-21,10.22
2024-08-22,10.19
2024-08-23,10.31
2024-08-24,10.37
2024-08-25,10.39
2024-08-26,10.54
2024-08-27,10.56
2024-08-28,10.69
2024-08-29,10.72
2024-08-30,10.85
2024-08-31,10.89
2024-09-01,11.01
2024-09-02,11.04
2024-09-03,11.2
2024-09-04,11.25
2024-09-05,11.39
2024-09-06,11.47
2024-09-07,11.6
2024-09-08,11.64
2024-09-09,11.83
2024-09-10,12.08
2024-09-11,12.27
2024-09-12,12.39
2024-09-13,12.52
2024-09-14,12.59
2024-09-15,12.71
2024-09-16,12.82
2024-09-17,12.98
2024-09-18,13.14
2024-09-19,13.21
2024-09-20,13.41
2024-09-21,13.49
2024-09-22,13.51
2024-09-23,13.75
2024-09-24,13.87
2024-09-25,13.93
2024-09-26,14.16
2024-09-27,14.14
2024-09-28,14.4
2024-09-29,14.47
2024-09-30,14.61
2024-10-01,14.63
2024-10-02,14.91
2024-10-03,15.0
2024-10-04,15.07
2024-10-05,15.31
2024-10-06,15.34
2024-10-07,15.53
2024-10-08,15.69
2024-10-09,15.74
2024-10-10,15.94
2024-10-11,15.97
2024-10-12,16.14
2024-10-13,16.32
2024-10-14,16.27
2024-10-15,16.48
2024-10-16,16.71
2024-10-17,16.42
2024-10-18,17.06
2024-10-19,16.76
2024-10-20,16.92
2024-10-21,17.16
2024-10-22,17.13
2024-10-23,17.32
2024-10-24,17.22
2024-10-25,17.13
2024-10-26,17.15
2024-10-27,17.18
2024-10-28,17.26
2024-10-29,17.16
2024-10-30,17.27
2024-10-31,17.15
2024-11-01,17.02
2024-11-02,16.99
2024-11-03,16.91
2024-11-04,16.84
2024-11-05,16.64
2024-11-06,16.64
2024-11-07,16.68
2024-11-08,16.74
2024-11-09,16.69
2024-11-10,16.6
2024-11-11,16.61
2024-11-12,16.22
2024-11-13,16.27
2024-11-14,16.18
2024-11-15,16.4
2024-11-16,16.56
2024-11-17,16.18
2024-11-18,16.22
2024-11-19,16.13
2024-11-20,15.84
2024-11-21,15.16
2024-11-22,15.13
2024-11-23,14.98
2024-11-24,14.58
2024-11-25,14.35
2024-11-26,14.24
2024-11-27,14.08
2024-11-28,13.99
2024-11-29,13.87
2024-11-30,13.73
2024-12-01,13.57
2024-12-02,13.43
2024-12-03,13.3
2024-12-04,13.2
2024-12-05,13.13
2024-12-06,13.1
2024-12-07,13.04
2024-12-08,12.97
2024-12-09,12.88
2024-12-10,12.82
2024-12-11,12.77
2024-12-12,12.7
2024-12-13,12.58
2024-12-14,12.5
