DATE TIME,DAWT(C),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2024-05-28,11.56,,,,,,,
2024-05-29,11.6,,,,,,,11.6
2024-05-30,11.65,,,,,,,
2024-05-31,11.69,,,,,,,
2024-06-01,11.75,,,,,,,
2024-06-02,11.72,,,,,,,
2024-06-03,11.65,,,,,,,
2024-06-04,11.83,,,,,,,
2024-06-05,11.92,,,,,,,
2024-06-06,10.9,,,,,,,
2024-06-07,10.87,,,,,,,
2024-06-12,15.33,,,,,,,
2024-06-13,12.06,,,,,,,
2024-06-14,10.83,,,,,,,
2024-06-15,10.68,,,,,,,
2024-06-16,10.67,,,,,,,
2024-06-17,10.7,,,,,,,
2024-06-18,10.5,,,,,,,
2024-06-19,10.6,,,,,,,
2024-06-20,10.65,,,,,,,
2024-06-21,10.71,,,,,,,
2024-06-22,10.73,,,,,,,
2024-06-23,10.81,,,,,,,
2024-06-24,10.53,,,,,,,
2024-06-25,10.8,,,,,,,
2024-06-26,10.8,,,,,,,
2024-06-27,10.73,,,,,,,
2024-06-28,10.64,,,,,,,
2024-06-29,10.71,,,,,,,
2024-06-30,10.75,,,,,,,
2024-07-01,10.83,,,,,,,
2024-07-02,10.84,,,,,,,
2024-07-03,10.88,,,,,,,
2024-07-04,10.94,,,,,,,
2024-07-05,10.99,,,,,,,
2024-07-06,11.0,,,,,,,
2024-07-07,11.04,,,,,,,
2024-07-08,11.01,,,,,,,
2024-07-09,11.01,,,,,,,
2024-07-10,11.53,,,,,,,
2024-07-11,11.06,,,,,,,
2024-07-12,10.96,,,,,,,
2024-07-13,10.96,,,,,,,
2024-07-14,11.13,,,,,,,
2024-07-15,11.08,,,,,,,
2024-07-16,11.07,,,,,,,
2024-07-17,11.04,,,,,,,
2024-07-18,10.97,,,,,,,
2024-07-19,11.07,,,,,,,
2024-07-20,11.13,,,,,,,
2024-07-21,11.13,,,,,,,
2024-07-22,11.16,,,,,,,
2024-07-23,11.18,,,,,,,
2024-07-24,11.14,,,,,,,
2024-07-25,11.2,,,,,,,
2024-07-26,11.16,,,,,,,
2024-07-27,11.06,,,,,,,
2024-07-28,11.09,,,,,,,
2024-07-29,11.04,,,,,,,
2024-07-30,11.12,,,,,,,
