,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/1/2022 0:00,36891,2.78,-0.2,2.68,1.73,5.14,3
1/1/2022 1:00,36891.04,2.78,-0.2,1.79,1.45,4.99,3
1/1/2022 2:00,36891.08,2.22,-0.4,2.24,1.64,4.85,2
1/1/2022 3:00,36891.13,2.22,-0.4,2.24,1.36,4.71,3
1/1/2022 4:00,36891.17,2.22,-0.57,2.68,1.66,4.56,3
1/1/2022 5:00,36891.21,1.11,-1.66,3.13,1.64,4.42,3
1/1/2022 6:00,36891.25,2.22,-0.91,4.02,1.87,4.28,3
1/1/2022 7:00,36891.29,1.11,-2,2.68,1.62,4.13,34
1/1/2022 8:00,36891.34,3.33,-0.18,2.24,1.45,3.99,179
1/1/2022 9:00,36891.38,7.78,2.79,0.89,0.72,3.85,328
1/1/2022 10:00,36891.42,10.56,3.74,0.45,2.08,3.7,444
1/1/2022 11:00,36891.46,11.67,3.1,0.45,4.22,3.56,506
1/1/2022 12:00,36891.5,10.56,0.75,0.45,4.87,3.42,480
1/1/2022 13:00,36891.55,12.22,0.84,1.34,3.94,2.52,449
1/1/2022 14:00,36891.59,13.33,1.24,0.45,4.26,3.6,338
1/1/2022 15:00,36891.63,12.78,0.73,0.45,3.7,3.6,192
1/1/2022 16:00,36891.67,8.33,-2.72,0.45,4.82,3.6,41
1/1/2022 17:00,36891.71,7.78,-1.04,0.89,0.66,3.6,2
1/1/2022 18:00,36891.76,6.11,-2.1,1.79,1.4,3.6,2
1/1/2022 19:00,36891.8,5,-2.67,2.24,1.59,3.6,3
1/1/2022 20:00,36891.84,3.89,-2.81,3.13,1.34,3.6,3
1/1/2022 21:00,36891.88,4.44,-1.85,3.13,1.64,3.6,3
1/1/2022 22:00,36891.92,2.78,-3.02,4.02,1.55,3.6,3
1/1/2022 23:00,36891.97,3.33,-0.18,2.24,1.87,5.28,3
1/2/2022 0:00,36892,3.89,-2.38,4.47,1.61,3.6,3
1/2/2022 1:00,36892.04,3.89,-2.59,4.47,1.48,3.6,3
1/2/2022 2:00,36892.08,3.33,-3.12,4.92,1.34,3.6,3
1/2/2022 3:00,36892.13,2.22,-3.96,4.02,1.27,3.59,3
1/2/2022 4:00,36892.17,2.78,-3.43,3.13,1.69,3.59,3
1/2/2022 5:00,36892.21,2.22,-4.61,4.47,1.38,3.59,3
1/2/2022 6:00,36892.25,1.67,-4.7,4.02,1.52,3.59,3
1/2/2022 7:00,36892.29,1.67,-4.49,2.24,1.69,3.59,36
1/2/2022 8:00,36892.34,3.33,-3.56,2.24,1.54,3.59,183
1/2/2022 9:00,36892.38,9.44,0.77,1.34,1.1,3.59,328
1/2/2022 10:00,36892.42,12.22,1.73,0.45,2.64,3.59,443
1/2/2022 11:00,36892.46,11.11,0.7,0.89,5.99,3.59,503
1/2/2022 12:00,36892.5,13.33,1.86,0.89,5.74,3.59,477
1/2/2022 13:00,36892.55,13.89,1.42,0.45,1.85,3.05,441
