,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/1/2020 0:00,36160,4.44,4,2.68,1.19,3.52,0
1/1/2020 1:00,36160.04,4.44,3.24,4.02,1.29,3.44,0
1/1/2020 2:00,36160.08,5,2.66,3.58,1.13,3.37,1
1/1/2020 3:00,36160.13,4.44,1.43,4.02,1.2,3.3,3
1/1/2020 4:00,36160.17,5,1.8,4.47,1.01,3.22,2
1/1/2020 5:00,36160.21,5,1.26,4.02,0.89,3.15,3
1/1/2020 6:00,36160.25,3.89,0.54,3.58,1.4,3.08,3
1/1/2020 7:00,36160.29,5,1.07,4.92,0.79,3,38
1/1/2020 8:00,36160.34,6.11,0.58,4.47,1.24,2.93,194
1/1/2020 9:00,36160.38,10.56,2.31,1.34,6,2.86,354
1/1/2020 10:00,36160.42,15.56,0.06,0.45,4.35,2.78,466
1/1/2020 11:00,36160.46,17.78,2.04,0.45,4.33,2.71,526
1/1/2020 12:00,36160.5,17.22,1.54,0.89,3.75,2.64,496
1/1/2020 13:00,36160.55,17.22,3.06,0.45,3.86,1.33,463
1/1/2020 14:00,36160.59,16.11,3.11,0.45,0.66,3.04,347
1/1/2020 15:00,36160.63,15,3.7,0.45,4.14,3.16,205
1/1/2020 16:00,36160.67,10,2.98,0.89,5.64,3.27,39
1/1/2020 17:00,36160.71,8.89,4.06,1.34,0.07,3.39,4
1/1/2020 18:00,36160.76,9.44,2.68,1.79,1.24,3.51,3
1/1/2020 19:00,36160.8,8.89,2.82,3.13,1.12,3.62,3
1/1/2020 20:00,36160.84,7.78,2.79,4.47,1.03,3.74,3
1/1/2020 21:00,36160.88,8.33,2.71,3.58,1.2,3.86,3
1/1/2020 22:00,36160.92,8.33,2.29,4.02,1.19,3.98,3
1/1/2020 23:00,36160.97,4.44,3.55,1.79,1.15,3.59,0
1/2/2020 0:00,36161,8.33,1.17,4.47,1.19,4.21,3
1/2/2020 1:00,36161.04,7.78,1.1,3.58,1.17,4.33,3
1/2/2020 2:00,36161.08,7.78,0.42,4.02,0.63,4.44,3
1/2/2020 3:00,36161.13,6.67,-0.63,3.13,1.5,4.56,3
1/2/2020 4:00,36161.17,7.22,-0.34,5.81,1.19,4.68,3
1/2/2020 5:00,36161.21,6.67,-1.58,5.36,0.65,4.79,3
1/2/2020 6:00,36161.25,6.11,-2.1,4.47,1.26,4.91,3
1/2/2020 7:00,36161.29,7.22,-1.31,4.92,0.96,5.03,45
1/2/2020 8:00,36161.34,7.78,-2.37,2.68,1.12,5.14,151
1/2/2020 9:00,36161.38,10.56,-2.59,1.34,1.22,5.26,255
1/2/2020 10:00,36161.42,14.44,-2.15,0.89,0.51,5.38,435
1/2/2020 11:00,36161.46,18.33,1.7,0.45,4.42,5.49,466
1/2/2020 12:00,36161.5,17.78,-0.11,0.45,3.26,5.61,414
1/2/2020 13:00,36161.55,18.89,0.4,1.34,3.82,5.04,392
1/2/2020 14:00,36161.59,18.33,1.27,1.34,3.35,4.24,327
1/2/2020 15:00,36161.63,16.67,1.44,0.45,1.36,4.49,188
1/2/2020 16:00,36161.67,13.33,-0.44,1.79,1.36,4.73,37
1/2/2020 17:00,36161.71,11.67,-0.6,0.89,2.48,4.98,3
1/2/2020 18:00,36161.76,11.11,0.7,3.58,0.98,5.23,3
