,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/1/2020 0:00,36160,6.67,3.6,3.13,1.1,6.43,4
1/1/2020 1:00,36160.04,6.11,2.7,4.92,0.93,6.24,4
1/1/2020 2:00,36160.08,5.56,2.34,4.02,1.27,6.05,4
1/1/2020 3:00,36160.13,6.11,2.88,3.13,1.29,5.86,4
1/1/2020 4:00,36160.17,5.56,2.69,3.13,1.57,5.66,4
1/1/2020 5:00,36160.21,4.44,1.43,3.58,1.4,5.47,4
1/1/2020 6:00,36160.25,5,2.15,2.24,1.38,5.28,4
1/1/2020 7:00,36160.29,5.56,2.51,3.13,1.26,5.09,31
1/1/2020 8:00,36160.34,6.67,2.87,1.79,1.2,4.89,166
1/1/2020 9:00,36160.38,12.78,7.6,0.89,6.06,4.7,315
1/1/2020 10:00,36160.42,12.78,7.39,0.89,1.05,4.51,427
1/1/2020 11:00,36160.46,17.22,8.31,0.89,4.17,4.32,488
1/1/2020 12:00,36160.5,19.44,9.56,0.89,5.97,4.12,462
1/1/2020 13:00,36160.55,20.56,7.83,0.45,5.57,3.5,431
1/1/2020 14:00,36160.59,19.44,5.79,0.45,1.1,4.29,325
1/1/2020 15:00,36160.63,19.44,4.31,0.45,4.21,4.44,181
1/1/2020 16:00,36160.67,15.56,1.56,0.45,5.57,4.59,33
1/1/2020 17:00,36160.71,15,2.76,2.24,1.31,4.74,4
1/1/2020 18:00,36160.76,13.89,2.68,2.24,1.03,4.89,4
1/1/2020 19:00,36160.8,12.78,2.81,3.58,1.15,5.04,4
1/1/2020 20:00,36160.84,12.22,3.1,4.02,1.92,5.19,4
1/1/2020 21:00,36160.88,10.56,1.81,4.02,1.26,5.34,4
1/1/2020 22:00,36160.92,10.56,1.55,3.58,1.12,5.49,4
1/1/2020 23:00,36160.97,6.11,2.88,4.02,1.26,6.63,4
1/2/2020 0:00,36161,10.56,1.29,5.36,1.34,5.79,4
1/2/2020 1:00,36161.04,11.11,-0.17,3.13,1.13,5.94,4
1/2/2020 2:00,36161.08,11.11,-1.1,3.13,1.4,6.09,4
1/2/2020 3:00,36161.13,11.11,-1.43,3.58,1.17,6.24,4
1/2/2020 4:00,36161.17,10.56,-1.93,4.02,1.43,6.39,4
1/2/2020 5:00,36161.21,11.67,-2.65,4.47,0.99,6.54,4
1/2/2020 6:00,36161.25,12.22,-1.79,4.02,0.8,6.68,4
1/2/2020 7:00,36161.29,13.89,-2.64,2.68,1.48,6.83,59
1/2/2020 8:00,36161.34,17.22,-1.53,2.68,1.31,6.98,209
1/2/2020 9:00,36161.38,21.11,-0.29,1.34,0.79,7.13,311
1/2/2020 10:00,36161.42,20.56,0.33,0.89,4.69,7.28,333
1/2/2020 11:00,36161.46,21.11,1.84,0.89,5.46,7.43,361
1/2/2020 12:00,36161.5,23.89,4.75,0.45,5.72,7.58,326
1/2/2020 13:00,36161.55,23.89,3.73,0,4.17,5.77,368
1/2/2020 14:00,36161.59,19.44,1.81,1.34,5.5,10,129
1/2/2020 15:00,36161.63,17.22,1.14,0.45,3.25,9.77,69
1/2/2020 16:00,36161.67,15,0.33,0.89,4.24,9.54,18
1/2/2020 17:00,36161.71,13.89,1.75,1.34,4.05,9.31,4
1/2/2020 18:00,36161.76,11.67,2.32,2.24,0.93,9.08,4
1/2/2020 19:00,36161.8,11.11,2.83,1.34,3.65,8.85,4
1/2/2020 20:00,36161.84,9.44,3.13,0.45,4.17,8.62,4
1/2/2020 21:00,36161.88,8.33,2.92,0.45,2.2,8.39,4
1/2/2020 22:00,36161.92,8.89,3.03,1.34,4.17,8.16,4
1/2/2020 23:00,36161.97,10,1.29,4.02,1.24,5.64,4
1/3/2020 0:00,36162,8.33,3.53,1.79,2.81,7.7,4
1/3/2020 1:00,36162.04,8.33,3.72,2.24,1.2,7.47,4
1/3/2020 2:00,36162.08,7.22,2.45,3.13,1.17,7.24,4
1/3/2020 3:00,36162.13,8.33,2.29,1.79,0.63,7.01,4
1/3/2020 4:00,36162.17,5.56,1.04,0.45,5.24,6.78,4
1/3/2020 5:00,36162.21,7.22,3.04,2.24,0.93,6.55,4
1/3/2020 6:00,36162.25,6.67,1.52,1.34,0.65,6.32,4
1/3/2020 7:00,36162.29,7.22,1.65,2.68,1.64,6.09,38
1/3/2020 8:00,36162.34,7.78,2.79,1.34,1.19,5.86,112
1/3/2020 9:00,36162.38,9.44,4.39,1.34,4,5.63,307
1/3/2020 10:00,36162.42,10,5.73,1.34,3.82,5.4,436
1/3/2020 11:00,36162.46,15.56,9.4,0.45,2.44,5.17,385
1/3/2020 12:00,36162.5,18.89,10.66,0.45,3.96,4.94,439
1/3/2020 13:00,36162.55,18.33,8.25,3.13,3.47,4.94,396
1/3/2020 14:00,36162.59,18.33,7.37,1.34,3.53,5.87,288
1/3/2020 15:00,36162.63,15.56,5.67,0.89,3.84,5.8,163
1/3/2020 16:00,36162.67,12.78,4.65,0.45,4,5.73,37
1/3/2020 17:00,36162.71,12.22,5.32,0.89,3.86,5.66,4
1/3/2020 18:00,36162.76,10,4.09,0.45,2.72,5.59,4
1/3/2020 19:00,36162.8,8.89,3.86,0,2.79,5.53,4
1/3/2020 20:00,36162.84,8.89,4.46,1.79,0.98,5.46,4
1/3/2020 21:00,36162.88,9.44,4.99,2.68,1.03,5.39,4
1/3/2020 22:00,36162.92,9.44,4.6,3.13,0.86,5.32,4
1/3/2020 23:00,36162.97,6.67,3.24,4.02,1.13,7.93,4
1/4/2020 0:00,36163,7.78,3.38,3.13,1.5,5.18,4
1/4/2020 1:00,36163.04,8.33,3.92,4.47,1.45,5.11,4
1/4/2020 2:00,36163.08,8.33,3.72,3.13,1.55,5.04,4
1/4/2020 3:00,36163.13,7.22,2.65,3.58,1.33,4.97,4
1/4/2020 4:00,36163.17,8.33,3.33,3.13,1.52,4.9,4
1/4/2020 5:00,36163.21,6.67,1.92,2.24,1.5,4.83,4
1/4/2020 6:00,36163.25,6.67,1.92,2.68,1.33,4.76,4
1/4/2020 7:00,36163.29,7.22,1.65,0.89,1.85,4.69,33
1/4/2020 8:00,36163.34,10,4.31,0.45,3.33,4.62,144
1/4/2020 9:00,36163.38,15,8.19,0.45,5.39,4.55,279
1/4/2020 10:00,36163.42,20.56,12.74,0.89,5.79,4.48,406
1/4/2020 11:00,36163.46,19.44,9.84,0.89,3.4,4.41,477
