DATE TIME,Radiation_Wm2
10/1/2023 1:00,1
10/1/2023 2:00,1
10/1/2023 3:00,0
10/1/2023 4:00,0
10/1/2023 5:00,0
10/1/2023 6:00,2
10/1/2023 7:00,80
10/1/2023 8:00,207
10/1/2023 9:00,447
10/1/2023 10:00,522
10/1/2023 11:00,695
10/1/2023 12:00,743
10/1/2023 13:00,525
10/1/2023 14:00,605
10/1/2023 15:00,424
10/1/2023 16:00,353
10/1/2023 17:00,112
10/1/2023 18:00,34
10/1/2023 19:00,1
10/1/2023 20:00,1
10/1/2023 21:00,1
10/1/2023 22:00,1
10/1/2023 23:00,0
,1
10/2/2023 1:00,1
10/2/2023 2:00,1
10/2/2023 3:00,0
10/2/2023 4:00,0
10/2/2023 5:00,0
10/2/2023 6:00,2
10/2/2023 7:00,55
10/2/2023 8:00,259
10/2/2023 9:00,442
10/2/2023 10:00,551
10/2/2023 11:00,676
10/2/2023 12:00,753
10/2/2023 13:00,766
10/2/2023 14:00,708
10/2/2023 15:00,541
10/2/2023 16:00,359
10/2/2023 17:00,164
10/2/2023 18:00,26
10/2/2023 19:00,0
10/2/2023 20:00,0
10/2/2023 21:00,1
10/2/2023 22:00,0
10/2/2023 23:00,1
,1
10/3/2023 1:00,1
10/3/2023 2:00,0
10/3/2023 3:00,1
10/3/2023 4:00,0
10/3/2023 5:00,0
10/3/2023 6:00,2
10/3/2023 7:00,77
10/3/2023 8:00,261
10/3/2023 9:00,451
10/3/2023 10:00,604
10/3/2023 11:00,704
10/3/2023 12:00,746
10/3/2023 13:00,728
10/3/2023 14:00,658
10/3/2023 15:00,525
10/3/2023 16:00,357
10/3/2023 17:00,165
10/3/2023 18:00,24
10/3/2023 19:00,0
10/3/2023 20:00,1
10/3/2023 21:00,0
10/3/2023 22:00,0
10/3/2023 23:00,1
,1
10/4/2023 1:00,1
10/4/2023 2:00,1
10/4/2023 3:00,1
10/4/2023 4:00,1
10/4/2023 5:00,0
10/4/2023 6:00,2
10/4/2023 7:00,79
10/4/2023 8:00,263
10/4/2023 9:00,452
10/4/2023 10:00,604
10/4/2023 11:00,704
10/4/2023 12:00,745
10/4/2023 13:00,731
10/4/2023 14:00,659
10/4/2023 15:00,530
10/4/2023 16:00,359
10/4/2023 17:00,163
10/4/2023 18:00,22
10/4/2023 19:00,0
10/4/2023 20:00,0
10/4/2023 21:00,1
10/4/2023 22:00,1
10/4/2023 23:00,1
,1
10/5/2023 1:00,1
10/5/2023 2:00,1
10/5/2023 3:00,1
10/5/2023 4:00,1
10/5/2023 5:00,0
10/5/2023 6:00,2
10/5/2023 7:00,78
10/5/2023 8:00,262
10/5/2023 9:00,451
10/5/2023 10:00,667
10/5/2023 11:00,714
10/5/2023 12:00,757
10/5/2023 13:00,736
10/5/2023 14:00,658
10/5/2023 15:00,531
10/5/2023 16:00,354
10/5/2023 17:00,156
10/5/2023 18:00,18
10/5/2023 19:00,0
10/5/2023 20:00,0
10/5/2023 21:00,0
10/5/2023 22:00,1
10/5/2023 23:00,1
,1
10/6/2023 1:00,1
10/6/2023 2:00,1
10/6/2023 3:00,1
10/6/2023 4:00,1
10/6/2023 5:00,1
10/6/2023 6:00,2
10/6/2023 7:00,78
10/6/2023 8:00,260
10/6/2023 9:00,453
10/6/2023 10:00,608
10/6/2023 11:00,706
10/6/2023 12:00,754
10/6/2023 13:00,734
10/6/2023 14:00,655
10/6/2023 15:00,524
10/6/2023 16:00,350
10/6/2023 17:00,156
10/6/2023 18:00,18
10/6/2023 19:00,0
10/6/2023 20:00,0
10/6/2023 21:00,0
10/6/2023 22:00,1
10/6/2023 23:00,1
,1
10/7/2023 1:00,1
10/7/2023 2:00,1
10/7/2023 3:00,1
10/7/2023 4:00,1
10/7/2023 5:00,1
10/7/2023 6:00,2
10/7/2023 7:00,69
10/7/2023 8:00,254
10/7/2023 9:00,413
10/7/2023 10:00,600
10/7/2023 11:00,698
10/7/2023 12:00,740
10/7/2023 13:00,726
10/7/2023 14:00,651
10/7/2023 15:00,517
10/7/2023 16:00,341
10/7/2023 17:00,151
10/7/2023 18:00,17
10/7/2023 19:00,0
10/7/2023 20:00,0
10/7/2023 21:00,0
10/7/2023 22:00,1
10/7/2023 23:00,1
,1
10/8/2023 1:00,1
10/8/2023 2:00,1
10/8/2023 3:00,1
10/8/2023 4:00,1
10/8/2023 5:00,1
10/8/2023 6:00,2
10/8/2023 7:00,52
10/8/2023 8:00,239
10/8/2023 9:00,439
10/8/2023 10:00,598
10/8/2023 11:00,698
10/8/2023 12:00,720
10/8/2023 13:00,717
10/8/2023 14:00,646
10/8/2023 15:00,515
10/8/2023 16:00,336
10/8/2023 17:00,146
10/8/2023 18:00,14
10/8/2023 19:00,0
10/8/2023 20:00,0
10/8/2023 21:00,0
10/8/2023 22:00,0
10/8/2023 23:00,0
,0
10/9/2023 1:00,1
10/9/2023 2:00,1
10/9/2023 3:00,1
10/9/2023 4:00,1
10/9/2023 5:00,1
10/9/2023 6:00,2
10/9/2023 7:00,93
10/9/2023 8:00,166
10/9/2023 9:00,373
10/9/2023 10:00,527
10/9/2023 11:00,451
10/9/2023 12:00,539
10/9/2023 13:00,554
10/9/2023 14:00,384
10/9/2023 15:00,261
10/9/2023 16:00,204
10/9/2023 17:00,114
10/9/2023 18:00,10
10/9/2023 19:00,0
10/9/2023 20:00,1
10/9/2023 21:00,1
10/9/2023 22:00,1
10/9/2023 23:00,1
,1
10/10/2023 1:00,1
10/10/2023 2:00,1
10/10/2023 3:00,1
10/10/2023 4:00,1
10/10/2023 5:00,1
10/10/2023 6:00,1
10/10/2023 7:00,69
10/10/2023 8:00,286
10/10/2023 9:00,471
10/10/2023 10:00,478
10/10/2023 11:00,676
10/10/2023 12:00,726
10/10/2023 13:00,691
10/10/2023 14:00,653
10/10/2023 15:00,461
10/10/2023 16:00,324
10/10/2023 17:00,135
10/10/2023 18:00,12
10/10/2023 19:00,0
10/10/2023 20:00,1
10/10/2023 21:00,1
10/10/2023 22:00,1
10/10/2023 23:00,1
,1
10/11/2023 1:00,1
10/11/2023 2:00,1
10/11/2023 3:00,1
10/11/2023 4:00,1
10/11/2023 5:00,1
10/11/2023 6:00,2
10/11/2023 7:00,58
10/11/2023 8:00,247
10/11/2023 9:00,421
10/11/2023 10:00,598
10/11/2023 11:00,700
10/11/2023 12:00,743
