Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
80,Fresno State,San Joaquin Valley,1/1/2024,100,1,0, ,0, ,0, ,1, ,7.8, ,98, ,7.5, ,1, ,243, ,13.6, 
80,Fresno State,San Joaquin Valley,1/1/2024,200,1,0, ,0, ,0, ,1, ,7, ,98, ,6.6, ,1, ,239, ,13.6, 
80,Fresno State,San Joaquin Valley,1/1/2024,300,1,0, ,0, ,0, ,1.1, ,8.3, ,98, ,8, ,2.1, ,228, ,13.6, 
80,Fresno State,San Joaquin Valley,1/1/2024,400,1,0, ,0, ,0, ,1.1, ,8.6, ,98, ,8.2, ,1.4, ,251, ,13.5, 
80,Fresno State,San Joaquin Valley,1/1/2024,500,1,0, ,0, ,0, ,1.1, ,8.6, ,98, ,8.4, ,1.4, ,16, ,13.5, 
80,Fresno State,San Joaquin Valley,1/1/2024,600,1,0, ,0, ,0, ,1.1, ,8.6, ,99, ,8.4, ,1, ,259, ,13.5, 
80,Fresno State,San Joaquin Valley,1/1/2024,700,1,0, ,0.1, ,0, ,1.1, ,8.1, ,99, ,8, ,1.7, ,276, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,800,1,0, ,0, ,7, ,1.1, ,7.9, ,99, ,7.8, ,1.3, ,333, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,900,1,0, ,0, ,38, ,1.1, ,7.9, ,99, ,7.8, ,1.3, ,313, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,1000,1,0, ,0, ,60, ,1, ,7.7, ,100, ,7.6, ,2, ,270, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,1100,1,0.01, ,0, ,92, ,1, ,7.7, ,100, ,7.6, ,0.9, ,297, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,1200,1,0.02, ,0, ,110, ,1.1, ,7.8, ,100, ,7.7, ,1.6, ,264, ,13.3, 
80,Fresno State,San Joaquin Valley,1/1/2024,1300,1,0.01, ,0, ,96, ,1.1, ,7.9, ,100, ,7.9, ,1.3, ,292, ,13.3, 
80,Fresno State,San Joaquin Valley,1/1/2024,1400,1,0, ,0, ,77, ,1.1, ,8.2, ,99, ,8.1, ,1.2, ,76, ,13.3, 
80,Fresno State,San Joaquin Valley,1/1/2024,1500,1,0.01, ,0, ,77, ,1.1, ,8.6, ,99, ,8.4, ,1.2, ,62, ,13.3, 
80,Fresno State,San Joaquin Valley,1/1/2024,1600,1,0.01, ,0, ,59, ,1.1, ,8.9, ,94, ,8, ,1.7, ,74, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,1700,1,0.01, ,0, ,20, ,1, ,8.6, ,89, ,7, ,2, ,78, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,1800,1,0, ,0, ,0, ,1, ,8.5, ,92, ,7.2, ,1.7, ,110, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,1900,1,0, ,0, ,0, ,1, ,7.6, ,93, ,6.5, ,1.2, ,118, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,2000,1,0, ,0, ,0, ,0.9, ,5.8, ,96, ,5.2, ,0.6, ,254, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,2100,1,0, ,0, ,0, ,0.8, ,4.7, ,98, ,4.3, ,0.8, ,87, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,2200,1,0, ,0, ,0, ,0.9, ,4.9, ,99, ,4.7, ,1, ,84, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,2300,1,0, ,0, ,0, ,1, ,7, ,99, ,6.9, ,0.9, ,85, ,13.4, 
80,Fresno State,San Joaquin Valley,1/1/2024,2400,1,0, ,0, ,0, ,1, ,7.5, ,99, ,7.3, ,1.1, ,91, ,13.4, 
80,Fresno State,San Joaquin Valley,1/2/2024,100,2,0, ,0, ,0, ,1, ,7.8, ,98, ,7.6, ,1.3, ,137, ,13.3, 
80,Fresno State,San Joaquin Valley,1/2/2024,200,2,0, ,0, ,0, ,1, ,7.7, ,99, ,7.5, ,1.3, ,186, ,13.3, 
80,Fresno State,San Joaquin Valley,1/2/2024,300,2,0, ,0, ,0, ,1, ,7.8, ,99, ,7.6, ,1, ,124, ,13.3, 
80,Fresno State,San Joaquin Valley,1/2/2024,400,2,0, ,0, ,0, ,1.1, ,8.1, ,99, ,7.9, ,1.3, ,124, ,13.2, 
80,Fresno State,San Joaquin Valley,1/2/2024,500,2,0, ,0, ,0, ,1.1, ,8.4, ,97, ,7.9, ,1.7, ,124, ,13.2, 
80,Fresno State,San Joaquin Valley,1/2/2024,600,2,0, ,0, ,0, ,1, ,8.4, ,92, ,7.2, ,2.1, ,138, ,13.2, 
80,Fresno State,San Joaquin Valley,1/2/2024,700,2,0, ,0, ,0, ,1, ,8.2, ,92, ,7, ,2.5, ,135, ,13.2, 
80,Fresno State,San Joaquin Valley,1/2/2024,800,2,0, ,0, ,13, ,1, ,8.2, ,93, ,7.1, ,1.8, ,163, ,13.2, 
80,Fresno State,San Joaquin Valley,1/2/2024,900,2,0, ,0, ,27, ,1, ,8.3, ,93, ,7.2, ,1.9, ,144, ,13.2, 
80,Fresno State,San Joaquin Valley,1/2/2024,1000,2,0.02, ,0, ,86, ,1, ,8.6, ,94, ,7.7, ,1.9, ,169, ,13.1, 
80,Fresno State,San Joaquin Valley,1/2/2024,1100,2,0.03, ,0, ,118, ,1.1, ,9.1, ,92, ,7.8, ,2, ,143, ,13.1, 
80,Fresno State,San Joaquin Valley,1/2/2024,1200,2,0.06, ,0, ,175, ,1.1, ,9.5, ,91, ,8.1, ,2.3, ,137, ,13.1, 
80,Fresno State,San Joaquin Valley,1/2/2024,1300,2,0.11, ,0, ,269, ,1.1, ,10.3, ,88, ,8.3, ,2.3, ,146, ,13.1, 
80,Fresno State,San Joaquin Valley,1/2/2024,1400,2,0.17, ,0, ,363, ,1.1, ,11.2, ,84, ,8.6, ,2.2, ,188, ,13.1, 
80,Fresno State,San Joaquin Valley,1/2/2024,1500,2,0.16, ,0, ,350, ,1.1, ,12.3, ,79, ,8.9, ,2.4, ,164, ,13.1, 
80,Fresno State,San Joaquin Valley,1/2/2024,1600,2,0.09, ,0, ,202, ,1.1, ,12.8, ,77, ,8.8, ,3.2, ,135, ,13.1, 
80,Fresno State,San Joaquin Valley,1/2/2024,1700,2,0.01, ,0, ,34, ,1.1, ,11.9, ,79, ,8.4, ,2.8, ,161, ,13.2, 
80,Fresno State,San Joaquin Valley,1/2/2024,1800,2,0, ,0, ,0, ,1.1, ,10.6, ,86, ,8.4, ,2.5, ,155, ,13.2, 
80,Fresno State,San Joaquin Valley,1/2/2024,1900,2,0, ,0, ,0, ,1.1, ,9.6, ,91, ,8.3, ,2.8, ,161, ,13.3, 
80,Fresno State,San Joaquin Valley,1/2/2024,2000,2,0, ,0, ,0, ,1.1, ,9, ,94, ,8.1, ,3.1, ,158, ,13.3, 
80,Fresno State,San Joaquin Valley,1/2/2024,2100,2,0, ,0, ,0, ,1.1, ,8.8, ,95, ,8, ,3.8, ,148, ,13.3, 
80,Fresno State,San Joaquin Valley,1/2/2024,2200,2,0, ,0, ,0, ,1.1, ,9.6, ,90, ,8, ,4.2, ,154, ,13.3, 
80,Fresno State,San Joaquin Valley,1/2/2024,2300,2,0, ,3.4, ,0, ,1.1, ,9.9, ,89, ,8.2, ,1.9, ,161, ,13.3, 
80,Fresno State,San Joaquin Valley,1/2/2024,2400,2,0, ,0.6, ,0, ,1.1, ,9.4, ,95, ,8.6, ,1.9, ,48, ,13.3, 
80,Fresno State,San Joaquin Valley,1/3/2024,100,3,0, ,3.9, ,0, ,1.1, ,9.3, ,97, ,8.9, ,1.6, ,356, ,13.3, 
80,Fresno State,San Joaquin Valley,1/3/2024,200,3,0, ,1, ,0, ,1.1, ,9.4, ,96, ,8.8, ,1.9, ,32, ,13.3, 
80,Fresno State,San Joaquin Valley,1/3/2024,300,3,0, ,0.1, ,0, ,1.1, ,9.3, ,93, ,8.2, ,1.4, ,57, ,13.3, 
80,Fresno State,San Joaquin Valley,1/3/2024,400,3,0, ,0.1, ,0, ,1.1, ,8.3, ,96, ,7.7, ,0.9, ,181, ,13.3, 
80,Fresno State,San Joaquin Valley,1/3/2024,500,3,0, ,0.1, ,0, ,1, ,7.1, ,98, ,6.8, ,0.7, ,136, ,13.3, 
80,Fresno State,San Joaquin Valley,1/3/2024,600,3,0, ,0, ,0, ,1.1, ,8.1, ,97, ,7.7, ,1.9, ,170, ,13.3, 
80,Fresno State,San Joaquin Valley,1/3/2024,700,3,0, ,0.1, ,0, ,0.9, ,6.4, ,95, ,5.7, ,1, ,171, ,13.2, 
80,Fresno State,San Joaquin Valley,1/3/2024,800,3,0, ,0, ,26, ,0.9, ,5.5, ,98, ,5.2, ,1.3, ,45, ,13.2, 
80,Fresno State,San Joaquin Valley,1/3/2024,900,3,0.05, ,0, ,171, ,1, ,8.1, ,94, ,7.1, ,1.4, ,58, ,13.2, 
80,Fresno State,San Joaquin Valley,1/3/2024,1000,3,0.13, ,0, ,326, ,1, ,9.6, ,86, ,7.4, ,1.7, ,75, ,13.2, 
80,Fresno State,San Joaquin Valley,1/3/2024,1100,3,0.16, ,0, ,356, ,1, ,10.8, ,80, ,7.4, ,1.2, ,358, ,13.1, 
80,Fresno State,San Joaquin Valley,1/3/2024,1200,3,0.19, ,0, ,399, ,1, ,11.3, ,78, ,7.6, ,1.3, ,28, ,13.1, 
80,Fresno State,San Joaquin Valley,1/3/2024,1300,3,0.24, ,0, ,472, ,1, ,12.5, ,70, ,7.1, ,1.9, ,308, ,13.1, 
80,Fresno State,San Joaquin Valley,1/3/2024,1400,3,0.21, ,0, ,392, ,1, ,12.7, ,67, ,6.6, ,2.7, ,276, ,13.1, 
80,Fresno State,San Joaquin Valley,1/3/2024,1500,3,0.08, ,0, ,144, ,1, ,11.8, ,71, ,6.6, ,2.8, ,350, ,13.1, 
80,Fresno State,San Joaquin Valley,1/3/2024,1600,3,0.05, ,0, ,109, ,1, ,10.5, ,81, ,7.3, ,3.1, ,22, ,13.1, 
80,Fresno State,San Joaquin Valley,1/3/2024,1700,3,0, ,0, ,13, ,1, ,9, ,87, ,6.9, ,1.9, ,346, ,13.2, 
