Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
80,Fresno State,San Joaquin Valley,10/1/2023,0100,274,0.00, ,0.00, ,1, ,1.2, ,12.5, ,84, ,9.9, ,1.1, ,322, ,22.9, 
80,Fresno State,San Joaquin Valley,10/1/2023,0200,274,0.00, ,0.00, ,1, ,1.2, ,12.0, ,87, ,9.8, ,0.7, ,281, ,22.8, 
80,Fresno State,San Joaquin Valley,10/1/2023,0300,274,0.00, ,0.00, ,0, ,1.2, ,12.1, ,87, ,10.0, ,0.5, ,54, ,22.8, 
80,Fresno State,San Joaquin Valley,10/1/2023,0400,274,0.00, ,0.00, ,0, ,1.2, ,11.3, ,90, ,9.7, ,0.6, ,260, ,22.7, 
80,Fresno State,San Joaquin Valley,10/1/2023,0500,274,0.00, ,0.00, ,0, ,1.2, ,10.5, ,92, ,9.3, ,0.6, ,198, ,22.6, 
80,Fresno State,San Joaquin Valley,10/1/2023,0600,274,0.00, ,0.00, ,2, ,1.2, ,10.2, ,94, ,9.2, ,0.6, ,44, ,22.5, 
80,Fresno State,San Joaquin Valley,10/1/2023,0700,274,0.02, ,0.00, ,80, ,1.3, ,11.8, ,91, ,10.4, ,1.4, ,74, ,22.4, 
80,Fresno State,San Joaquin Valley,10/1/2023,0800,274,0.11, ,0.00, ,207, ,1.3, ,14.9, ,78, ,11.1, ,2.0, ,142, ,22.3, 
80,Fresno State,San Joaquin Valley,10/1/2023,0900,274,0.26, ,0.00, ,447, ,1.3, ,16.3, ,71, ,11.0, ,2.7, ,163, ,22.2, 
80,Fresno State,San Joaquin Valley,10/1/2023,1000,274,0.33, ,0.00, ,522, ,1.4, ,17.6, ,67, ,11.5, ,2.8, ,180, ,22.1, 
80,Fresno State,San Joaquin Valley,10/1/2023,1100,274,0.46, ,0.00, ,695, ,1.4, ,19.1, ,63, ,11.9, ,2.8, ,207, ,22.0, 
80,Fresno State,San Joaquin Valley,10/1/2023,1200,274,0.50, ,0.00, ,743, ,1.4, ,20.4, ,59, ,12.1, ,2.3, ,173, ,22.0, 
80,Fresno State,San Joaquin Valley,10/1/2023,1300,274,0.36, ,0.00, ,525, ,1.4, ,20.9, ,57, ,12.0, ,2.0, ,230, ,22.0, 
80,Fresno State,San Joaquin Valley,10/1/2023,1400,274,0.43, ,0.00, ,605, ,1.4, ,21.9, ,52, ,11.8, ,2.3, ,239, ,22.0, 
80,Fresno State,San Joaquin Valley,10/1/2023,1500,274,0.31, ,0.00, ,424, ,1.3, ,22.1, ,50, ,11.3, ,2.4, ,302, ,22.1, 
80,Fresno State,San Joaquin Valley,10/1/2023,1600,274,0.25, ,0.00, ,353, ,1.3, ,22.6, ,48, ,10.9, ,2.2, ,268, ,22.2, 
80,Fresno State,San Joaquin Valley,10/1/2023,1700,274,0.10, ,0.00, ,112, ,1.3, ,21.5, ,52, ,11.2, ,2.1, ,300, ,22.3, 
80,Fresno State,San Joaquin Valley,10/1/2023,1800,274,0.07, ,0.00, ,34, ,1.3, ,20.1, ,56, ,11.0, ,2.0, ,294, ,22.4, 
80,Fresno State,San Joaquin Valley,10/1/2023,1900,274,0.03, ,0.00, ,1, ,1.3, ,18.6, ,62, ,11.1, ,1.5, ,288, ,22.5, 
80,Fresno State,San Joaquin Valley,10/1/2023,2000,274,0.02, ,0.00, ,1, ,1.3, ,17.4, ,68, ,11.4, ,1.2, ,290, ,22.6, 
80,Fresno State,San Joaquin Valley,10/1/2023,2100,274,0.01, ,0.00, ,1, ,1.3, ,16.0, ,73, ,11.2, ,0.7, ,301, ,22.6, 
80,Fresno State,San Joaquin Valley,10/1/2023,2200,274,0.01, ,0.00, ,1, ,1.4, ,17.0, ,72, ,11.9, ,1.3, ,310, ,22.6, 
80,Fresno State,San Joaquin Valley,10/1/2023,2300,274,0.01, ,0.00, ,0, ,1.4, ,17.9, ,68, ,11.9, ,1.0, ,310, ,22.6, 
80,Fresno State,San Joaquin Valley,10/1/2023,2400,274,0.02, ,0.00, ,1, ,1.4, ,17.6, ,69, ,11.9, ,1.4, ,298, ,22.6, 
80,Fresno State,San Joaquin Valley,10/2/2023,0100,275,0.01, ,0.00, ,1, ,1.4, ,17.3, ,69, ,11.4, ,2.4, ,311, ,22.5, 
80,Fresno State,San Joaquin Valley,10/2/2023,0200,275,0.00, ,0.00, ,1, ,1.3, ,16.5, ,69, ,10.9, ,1.7, ,322, ,22.5, 
80,Fresno State,San Joaquin Valley,10/2/2023,0300,275,0.00, ,0.00, ,0, ,1.3, ,15.8, ,74, ,11.1, ,1.1, ,313, ,22.4, 
