DATE TIME,speed_mph
10/1/2023 0:00,4
10/1/2023 1:00,2
10/1/2023 2:00,2
10/1/2023 3:00,3
10/1/2023 4:00,5
10/1/2023 5:00,3
10/1/2023 6:00,4
10/1/2023 7:00,3
10/1/2023 8:00,6
10/1/2023 9:00,8
10/1/2023 10:00,6
10/1/2023 11:00,5
10/1/2023 12:00,5
10/1/2023 13:00,5
10/1/2023 14:00,5
10/1/2023 15:00,2
10/1/2023 16:00,4
10/1/2023 17:00,4
10/1/2023 18:00,2
10/1/2023 19:00,2
10/1/2023 20:00,2
10/1/2023 21:00,1
10/1/2023 22:00,2
10/1/2023 23:00,1
10/2/2023 0:00,1
10/2/2023 1:00,3
10/2/2023 2:00,3
10/2/2023 3:00,2
10/2/2023 4:00,3
10/2/2023 5:00,3
10/2/2023 6:00,3
10/2/2023 7:00,2
10/2/2023 8:00,2
10/2/2023 9:00,4
10/2/2023 10:00,1
10/2/2023 11:00,4
10/2/2023 12:00,4
10/2/2023 13:00,6
10/2/2023 14:00,6
10/2/2023 15:00,2
10/2/2023 16:00,6
10/2/2023 17:00,4
10/2/2023 18:00,5
10/2/2023 19:00,2
10/2/2023 20:00,4
10/2/2023 21:00,2
10/2/2023 22:00,2
10/2/2023 23:00,4
10/3/2023 0:00,3
10/3/2023 1:00,5
10/3/2023 2:00,4
10/3/2023 3:00,8
10/3/2023 4:00,6
10/3/2023 5:00,7
10/3/2023 6:00,8
10/3/2023 7:00,7
10/3/2023 8:00,4
10/3/2023 9:00,1
10/3/2023 10:00,1
10/3/2023 11:00,3
10/3/2023 12:00,2
10/3/2023 13:00,7
10/3/2023 14:00,3
10/3/2023 15:00,3
10/3/2023 16:00,4
10/3/2023 17:00,1
10/3/2023 18:00,2
10/3/2023 19:00,2
10/3/2023 20:00,1
10/3/2023 21:00,2
10/3/2023 22:00,4
10/3/2023 23:00,4
10/4/2023 0:00,7
10/4/2023 1:00,8
10/4/2023 2:00,10
10/4/2023 3:00,6
10/4/2023 4:00,6
10/4/2023 5:00,8
10/4/2023 6:00,7
10/4/2023 7:00,7
10/4/2023 8:00,4
10/4/2023 9:00,2
10/4/2023 10:00,1
10/4/2023 11:00,2
10/4/2023 12:00,3
10/4/2023 13:00,3
10/4/2023 14:00,3
10/4/2023 15:00,2
10/4/2023 16:00,1
10/4/2023 17:00,4
10/4/2023 18:00,2
10/4/2023 19:00,3
10/4/2023 20:00,4
10/4/2023 21:00,2
10/4/2023 22:00,2
10/4/2023 23:00,6
10/5/2023 0:00,7
10/5/2023 1:00,6
10/5/2023 2:00,6
10/5/2023 3:00,6
10/5/2023 4:00,7
10/5/2023 5:00,8
10/5/2023 6:00,9
10/5/2023 7:00,6
10/5/2023 8:00,4
10/5/2023 9:00,3
10/5/2023 10:00,3
10/5/2023 11:00,3
10/5/2023 12:00,3
10/5/2023 13:00,4
10/5/2023 14:00,3
10/5/2023 15:00,6
10/5/2023 16:00,4
10/5/2023 17:00,5
10/5/2023 18:00,3
10/5/2023 19:00,3
10/5/2023 20:00,2
10/5/2023 21:00,2
10/5/2023 22:00,4
10/5/2023 23:00,6
10/6/2023 0:00,8
10/6/2023 1:00,6
10/6/2023 2:00,7
10/6/2023 3:00,7
10/6/2023 4:00,8
10/6/2023 5:00,7
10/6/2023 6:00,7
10/6/2023 7:00,5
