,JDAY,SPL_temp_C,FKC_temp_C,MC_temp_C,SJR_temp_C,SPL_Q_m3s,FKC_Q_m3s,MC_Q_m3s,SJR_Q_m3s,SPL_ELEVCL_m,FKC_ELEVCL_m,MC_ELEVCL_m,SJR_ELEVCL_m
2023-06-02 02:00:00,37408.082,0.0,12.67,12.29,11.35,0.0,79.84,31.31,255.75,171.78,142.21,136.73,116.61
2023-06-02 03:00:00,37408.125,0.0,12.67,12.3,11.38,0.0,80.06,31.3,255.8,171.78,142.21,136.73,116.61
2023-06-02 04:00:00,37408.164,0.0,12.66,12.3,11.4,0.0,80.29,31.29,255.86,171.78,142.21,136.73,116.61
2023-06-02 05:00:00,37408.207,0.0,12.65,12.3,11.41,0.0,80.51,31.28,255.92,171.78,142.21,136.73,116.61
2023-06-02 06:00:00,37408.25,0.0,12.63,12.29,11.42,0.0,80.73,31.28,255.97,171.78,142.21,136.73,116.61
2023-06-02 07:00:00,37408.29,0.0,12.62,12.28,11.42,0.0,80.96,31.27,256.03,171.78,142.21,136.73,116.61
2023-06-02 08:00:00,37408.332,0.0,12.62,12.28,11.42,0.0,81.18,31.26,256.08,171.78,142.21,136.73,116.61
2023-06-02 09:00:00,37408.375,0.0,12.62,12.28,11.42,0.0,81.41,31.26,256.14,171.78,142.21,136.73,116.61
2023-06-02 10:00:00,37408.414,0.0,12.63,12.27,11.42,0.0,81.63,31.25,256.2,171.78,142.21,136.73,116.61
2023-06-02 11:00:00,37408.457,0.0,12.65,12.27,11.43,0.0,81.85,31.24,256.25,171.78,142.21,136.73,116.61
2023-06-02 12:00:00,37408.5,0.0,12.66,12.27,11.43,0.0,82.08,31.24,256.31,171.78,142.21,136.73,116.61
2023-06-02 13:00:00,37408.54,0.0,12.66,12.26,11.43,0.0,82.3,31.23,256.36,171.78,142.21,136.73,116.61
2023-06-02 14:00:00,37408.582,0.0,12.64,12.25,11.43,0.0,82.53,31.22,256.42,171.78,142.21,136.73,116.61
2023-06-02 15:00:00,37408.625,0.0,12.63,12.24,11.43,0.0,82.75,31.21,256.47,171.78,142.21,136.73,116.61
2023-06-02 16:00:00,37408.664,0.0,12.63,12.24,11.44,0.0,82.97,31.21,256.53,171.78,142.21,136.73,116.61
2023-06-02 17:00:00,37408.707,0.0,12.63,12.24,11.44,0.0,83.2,31.2,256.59,171.78,142.21,136.73,116.61
2023-06-02 18:00:00,37408.75,0.0,12.61,12.24,11.45,0.0,83.42,31.19,256.64,171.78,142.21,136.73,116.61
2023-06-02 19:00:00,37408.79,0.0,12.59,12.24,11.45,0.0,83.65,31.19,256.7,171.78,142.21,136.73,116.61
2023-06-02 20:00:00,37408.832,0.0,12.58,12.24,11.45,0.0,83.87,31.18,256.75,171.78,142.21,136.73,116.61
2023-06-02 21:00:00,37408.875,0.0,12.65,12.26,11.46,0.0,84.1,31.17,256.81,171.78,142.21,136.73,116.61
2023-06-02 22:00:00,37408.914,0.0,12.71,12.3,11.48,0.0,84.32,31.16,256.86,171.78,142.21,136.73,116.61
2023-06-02 23:00:00,37408.957,0.0,12.84,12.39,11.5,0.0,84.54,31.16,256.92,171.78,142.21,136.73,116.61
2023-06-03 00:00:00,37409.0,0.0,13.03,12.41,11.52,0.0,84.77,31.15,256.98,171.78,142.21,136.73,116.61
2023-06-03 01:00:00,37409.04,0.0,13.16,12.51,11.53,0.0,85.3,31.16,257.12,171.78,142.21,136.73,116.61
2023-06-03 02:00:00,37409.082,0.0,13.21,12.54,11.53,0.0,85.86,31.17,257.26,171.78,142.21,136.73,116.61
2023-06-03 03:00:00,37409.125,0.0,13.15,12.5,11.52,0.0,86.41,31.18,257.4,171.78,142.21,136.73,116.61
2023-06-03 04:00:00,37409.164,0.0,13.07,12.42,11.51,0.0,86.96,31.19,257.54,171.78,142.21,136.73,116.61
2023-06-03 05:00:00,37409.207,0.0,13.01,12.37,11.51,0.0,87.51,31.2,257.69,171.78,142.21,136.73,116.61
2023-06-03 06:00:00,37409.25,0.0,12.97,12.34,11.51,0.0,88.05,31.21,257.83,171.78,142.21,136.73,116.61
2023-06-03 07:00:00,37409.29,0.0,12.96,12.33,11.52,0.0,88.61,31.22,257.97,171.78,142.21,136.73,116.61
2023-06-03 08:00:00,37409.332,0.0,12.96,12.41,11.52,0.0,89.16,31.23,258.11,171.78,142.21,136.73,116.61
2023-06-03 09:00:00,37409.375,0.0,12.95,12.39,11.52,0.0,89.72,31.24,258.25,171.78,142.21,136.73,116.61
2023-06-03 10:00:00,37409.414,0.0,12.94,12.37,11.52,0.0,90.27,31.25,258.4,171.78,142.21,136.73,116.61
2023-06-03 11:00:00,37409.457,0.0,12.91,12.34,11.52,0.0,90.83,31.26,258.54,171.78,142.21,136.73,116.61
2023-06-03 12:00:00,37409.5,0.0,12.89,12.32,11.52,0.0,91.38,31.27,258.68,171.78,142.21,136.73,116.61
2023-06-03 13:00:00,37409.54,0.0,12.86,12.3,11.53,0.0,91.91,31.28,258.82,171.78,142.21,136.73,116.61
